test, rrt iteration, number of waypoints, distance to goal, time
1,429,0,856.99,2226
1,430,13,856.99,2239
1,431,13,856.99,2253
1,432,13,854.777,2267
1,433,13,854.777,2281
1,434,13,854.777,2296
1,435,13,802.953,2312
1,436,13,802.953,2326
1,437,13,802.953,2344
1,438,13,802.953,2359
1,439,13,802.953,2373
1,440,13,802.953,2389
1,441,13,802.953,2405
1,442,13,802.953,2420
1,443,13,802.953,2432
1,444,13,802.953,2447
1,445,13,802.953,2461
1,446,13,802.953,2477
1,447,13,802.953,2491
1,448,13,802.953,2505
1,449,13,802.953,2520
1,450,13,802.592,2535
1,451,13,802.592,2551
1,452,13,802.592,2566
1,453,13,802.592,2581
1,454,13,802.592,2600
1,455,13,802.592,2615
1,456,13,802.592,2630
1,457,13,802.592,2643
1,458,13,802.592,2657
1,459,13,802.592,2672
1,460,13,802.592,2687
1,461,13,802.592,2703
1,462,13,802.592,2719
1,463,13,802.592,2735
1,464,13,802.592,2751
1,465,13,802.592,2767
1,466,13,802.592,2782
1,467,13,802.592,2798
1,468,13,802.555,2815
1,469,14,802.555,2834
1,470,14,802.555,2850
1,471,14,802.555,2867
1,472,14,802.555,2879
1,473,14,802.555,2894
1,474,14,802.555,2910
1,475,14,802.555,2926
1,476,15,802.262,2941
1,477,15,802.262,2957
1,478,15,802.262,2973
1,479,15,802.262,2988
1,480,15,802.262,3005
1,481,15,802.262,3021
1,482,15,802.262,3038
1,483,15,802.262,3054
1,484,15,802.262,3074
1,485,15,802.262,3093
1,486,15,802.262,3111
1,487,15,802.262,3128
1,488,15,802.262,3142
1,489,15,802.262,3158
1,490,15,799.577,3174
1,491,14,799.577,3190
1,492,14,799.577,3207
1,493,14,799.577,3223
1,494,14,799.577,3239
1,495,14,799.577,3257
1,496,15,799.577,3276
1,497,15,799.577,3293
1,498,15,799.577,3309
1,499,15,799.577,3325
1,500,15,795.61,3347
1,501,15,795.61,3366
1,502,15,795.61,3384
1,503,15,795.61,3401
1,504,15,795.61,3416
1,505,15,795.61,3432
1,506,15,795.61,3448
1,507,15,795.61,3465
1,508,15,795.61,3480
1,509,15,795.61,3497
1,510,16,795.61,3514
1,511,16,795.61,3531
1,512,16,795.61,3551
1,513,16,795.61,3570
1,514,16,795.61,3588
1,515,16,795.61,3605
1,516,16,795.61,3624
1,517,16,795.61,3644
1,518,16,795.61,3664
1,519,16,795.391,3683
1,520,16,795.391,3700
1,521,16,795.391,3715
1,522,16,795.391,3731
1,523,16,795.391,3748
1,524,16,795.391,3764
1,525,16,795.391,3781
1,526,16,795.391,3799
1,527,16,795.391,3816
1,528,16,795.391,3833
1,529,16,795.218,3851
1,530,16,795.218,3869
1,531,16,795.218,3886
1,532,15,795.218,3902
1,533,15,795.218,3922
1,534,15,795.218,3943
1,535,15,795.218,3962
1,536,15,795.218,3981
1,537,15,795.218,3999
1,538,15,795.218,4016
1,539,15,795.218,4034
1,540,15,795.218,4052
1,541,15,795.218,4069
1,542,15,795.218,4087
1,543,15,795.218,4105
1,544,15,795.218,4123
1,545,15,795.218,4140
1,546,15,795.218,4160
1,547,15,795.218,4177
1,548,15,795.218,4194
1,549,15,795.218,4214
1,550,15,795.218,4234
1,551,15,795.218,4253
1,552,15,795.218,4271
1,553,15,795.218,4289
1,554,15,795.218,4307
1,555,15,794.521,4325
1,556,15,794.521,4343
1,557,15,794.521,4362
1,558,15,794.521,4380
1,559,15,794.521,4399
1,560,15,794.521,4418
1,561,15,794.521,4438
1,562,15,794.521,4458
1,563,15,794.521,4476
1,564,15,794.521,4493
1,565,15,794.521,4512
1,566,15,794.521,4532
1,567,15,794.521,4552
1,568,15,794.521,4570
1,569,15,794.521,4589
1,570,15,794.521,4605
1,571,15,794.521,4623
1,572,15,794.521,4643
1,573,15,794.521,4661
1,574,15,794.521,4680
1,575,15,794.521,4700
1,576,15,794.521,4720
1,577,15,794.521,4739
1,578,15,794.521,4759
1,579,15,794.521,4777
1,580,15,794.521,4796
1,581,15,794.521,4817
1,582,15,794.521,4839
1,583,15,794.521,4860
1,584,15,794.521,4880
1,585,15,794.521,4900
1,586,15,794.521,4918
1,587,15,794.521,4936
1,588,15,794.521,4956
1,589,15,794.175,4976
1,590,15,794.175,4995
1,591,15,794.175,5016
1,592,15,794.175,5036
1,593,15,794.175,5056
1,594,15,794.175,5075
1,595,15,794.175,5098
1,596,15,794.175,5117
1,597,15,794.175,5139
1,598,15,794.175,5159
1,599,15,794.175,5180
1,600,15,794.175,5200
1,601,15,794.175,5220
1,602,15,794.175,5237
1,603,15,794.175,5256
1,604,15,794.175,5277
1,605,15,794.175,5298
1,606,15,794.175,5318
1,607,15,794.175,5338
1,608,15,794.175,5357
1,609,15,794.175,5377
1,610,15,794.175,5399
1,611,15,794.175,5418
1,612,15,794.175,5438
1,613,15,794.175,5460
1,614,15,794.175,5482
1,615,15,794.175,5504
1,616,15,794.175,5524
1,617,15,794.175,5544
1,618,15,794.175,5563
1,619,15,794.175,5583
1,620,15,794.175,5604
1,621,15,794.175,5625
1,622,15,794.175,5647
1,623,15,794.175,5668
1,624,15,794.175,5689
1,625,15,794.175,5709
1,626,15,794.175,5731
1,627,15,794.175,5753
1,628,15,794.175,5778
1,629,15,794.175,5800
1,630,15,794.175,5823
1,631,15,794.175,5844
1,632,15,794.175,5865
1,633,15,794.175,5886
1,634,15,794.175,5905
1,635,15,794.175,5925
1,636,15,794.175,5946
1,637,15,794.175,5966
1,638,15,794.175,5988
1,639,15,794.175,6010
1,640,15,794.175,6033
1,641,15,794.175,6053
1,642,15,794.175,6075
1,643,15,794.175,6095
1,644,15,794.175,6116
1,645,15,794.175,6141
1,646,15,794.175,6163
1,647,15,794.175,6186
1,648,15,794.175,6207
1,649,15,794.175,6228
1,650,15,792.959,6247
1,651,16,792.959,6267
1,652,16,792.959,6287
1,653,16,792.959,6309
1,654,16,792.959,6331
1,655,16,792.959,6354
1,656,16,792.959,6376
1,657,16,792.959,6397
1,658,16,792.959,6418
1,659,16,792.959,6442
1,660,16,792.959,6467
1,661,16,792.959,6488
1,662,16,792.959,6510
1,663,16,792.959,6534
1,664,16,792.959,6558
1,665,16,792.959,6581
1,666,16,792.959,6599
1,667,16,792.959,6620
1,668,16,792.959,6641
1,669,16,792.959,6663
1,670,16,792.959,6686
1,671,16,792.959,6707
1,672,16,791.805,6729
1,673,16,791.805,6752
1,674,16,791.805,6777
1,675,16,791.805,6799
1,676,16,791.805,6819
1,677,16,791.805,6846
1,678,16,791.805,6867
1,679,16,791.805,6891
1,680,16,791.805,6915
1,681,16,791.805,6938
1,682,16,791.805,6960
1,683,16,791.805,6978
1,684,16,791.805,6999
1,685,16,791.805,7020
1,686,16,791.805,7041
1,687,16,791.805,7064
1,688,16,791.805,7086
1,689,16,791.805,7109
1,690,16,791.805,7133
1,691,16,791.805,7155
1,692,16,791.805,7178
1,693,16,791.805,7202
1,694,16,791.805,7223
1,695,16,791.805,7244
1,696,16,791.805,7266
1,697,16,791.805,7291
1,698,16,791.805,7315
1,699,16,791.805,7339
1,700,16,791.805,7359
1,701,16,791.805,7380
1,702,16,791.805,7401
1,703,16,791.805,7424
1,704,16,791.805,7448
1,705,16,791.805,7471
1,706,16,791.805,7496
1,707,16,791.805,7521
1,708,16,791.805,7543
1,709,16,791.805,7568
1,710,16,791.805,7592
1,711,16,791.805,7614
1,712,16,791.805,7637
1,713,16,791.805,7664
1,714,16,791.805,7691
1,715,16,791.805,7716
1,716,16,791.805,7740
1,717,16,791.805,7760
1,718,16,791.805,7782
1,719,16,791.805,7803
1,720,16,791.805,7827
1,721,16,791.805,7851
1,722,16,791.805,7875
1,723,16,791.805,7900
1,724,16,791.805,7923
1,725,16,791.805,7946
1,726,16,791.805,7971
1,727,16,791.805,7996
1,728,16,791.805,8019
1,729,16,791.805,8046
1,730,16,791.805,8071
1,731,16,791.805,8098
1,732,16,791.805,8124
1,733,16,791.805,8148
1,734,16,791.805,8168
1,735,16,791.805,8190
1,736,16,791.805,8212
1,737,16,791.631,8235
1,738,14,791.631,8259
1,739,14,791.631,8285
1,740,14,791.631,8308
1,741,14,791.631,8334
1,742,14,791.631,8358
1,743,14,791.631,8387
1,744,14,791.631,8410
1,745,14,791.631,8436
1,746,14,791.631,8462
1,747,14,791.631,8487
1,748,14,791.631,8512
1,749,14,791.631,8539
1,750,14,791.631,8561
1,751,14,791.631,8585
1,752,14,791.631,8610
1,753,14,791.631,8634
1,754,14,791.631,8661
1,755,14,791.631,8686
1,756,14,791.631,8710
1,757,14,791.631,8737
1,758,14,791.631,8760
1,759,14,791.631,8784
1,760,14,791.631,8813
1,761,14,791.631,8838
1,762,14,791.631,8865
1,763,14,791.631,8889
1,764,14,791.631,8914
1,765,14,791.631,8936
1,766,14,791.631,8962
1,767,14,791.631,8989
1,768,14,791.631,9014
1,769,14,791.631,9039
1,770,14,791.631,9066
1,771,14,791.631,9091
1,772,14,791.631,9118
1,773,14,791.631,9143
1,774,14,791.631,9168
1,775,14,791.631,9193
1,776,14,791.631,9220
1,777,14,791.631,9248
1,778,14,791.631,9273
1,779,14,791.631,9301
1,780,14,791.631,9325
1,781,14,791.631,9351
1,782,14,791.631,9376
1,783,14,791.631,9403
1,784,14,791.631,9430
1,785,14,791.631,9455
1,786,14,791.631,9479
1,787,14,791.631,9506
1,788,14,791.631,9538
1,789,14,791.631,9564
1,790,14,791.631,9589
1,791,14,791.631,9617
1,792,14,791.631,9644
1,793,14,791.631,9671
1,794,14,791.631,9699
1,795,14,791.631,9722
1,796,14,791.631,9748
1,797,14,791.631,9774
1,798,14,791.631,9800
1,799,14,791.631,9829
1,800,14,791.202,9857
1,801,14,791.202,9882
1,802,14,791.202,9910
1,803,14,791.202,9937
1,804,14,791.202,9967
1,805,14,791.202,9995
1,806,14,791.202,10024
1,807,14,791.202,10053
1,808,14,791.202,10080
1,809,14,791.202,10108
1,810,14,791.202,10132
1,811,14,791.202,10158
1,812,14,791.202,10184
1,813,14,791.202,10210
1,814,14,791.202,10236
1,815,14,791.202,10265
1,816,14,791.202,10293
1,817,14,791.202,10319
1,818,14,791.202,10345
1,819,14,791.202,10369
1,820,14,791.202,10398
1,821,14,791.202,10431
1,822,14,791.202,10458
1,823,14,791.202,10484
1,824,14,791.202,10512
1,825,14,791.202,10537
1,826,14,791.202,10564
1,827,14,791.202,10592
1,828,14,791.202,10619
1,829,14,791.202,10648
1,830,14,791.202,10675
1,831,14,791.202,10702
1,832,14,791.202,10728
1,833,14,791.202,10754
1,834,14,791.202,10785
1,835,14,791.202,10812
1,836,14,791.202,10838
1,837,14,791.202,10866
1,838,14,791.202,10893
1,839,14,791.202,10925
1,840,14,791.202,10950
1,841,14,791.202,10977
1,842,14,791.202,11005
1,843,14,791.202,11035
1,844,14,791.202,11061
1,845,14,791.202,11090
1,846,14,791.202,11120
1,847,14,791.202,11150
1,848,14,791.202,11182
1,849,14,791.202,11209
1,850,14,791.202,11241
1,851,14,791.202,11273
1,852,14,791.202,11302
1,853,14,791.202,11330
1,854,14,791.202,11357
1,855,14,791.202,11383
1,856,14,791.202,11410
1,857,14,791.202,11440
1,858,14,791.202,11466
1,859,14,791.202,11497
1,860,14,791.202,11525
1,861,14,791.202,11554
1,862,14,791.202,11581
1,863,14,791.202,11610
1,864,14,791.202,11638
1,865,14,791.202,11669
1,866,14,791.202,11700
1,867,14,791.202,11729
1,868,14,791.202,11756
1,869,14,791.202,11785
1,870,14,791.202,11810
1,871,14,791.202,11837
1,872,14,791.202,11865
1,873,14,791.202,11894
1,874,14,791.202,11925
1,875,14,791.202,11955
1,876,14,791.202,11983
1,877,14,791.202,12010
1,878,14,791.202,12038
1,879,14,791.202,12065
1,880,14,791.202,12094
1,881,14,791.202,12124
1,882,14,791.202,12154
1,883,14,791.202,12184
1,884,14,791.202,12216
1,885,14,791.202,12242
1,886,14,791.202,12271
1,887,14,791.202,12300
1,888,14,791.202,12327
1,889,14,791.202,12358
1,890,14,791.202,12386
1,891,14,791.202,12415
1,892,14,791.202,12444
1,893,14,791.202,12479
1,894,14,791.202,12509
1,895,14,791.202,12539
1,896,14,791.202,12573
1,897,14,791.202,12604
1,898,14,791.202,12633
1,899,14,791.202,12663
1,900,14,791.202,12690
1,901,14,791.202,12719
1,902,14,791.202,12746
1,903,14,791.202,12776
1,904,14,791.202,12805
1,905,14,791.202,12834
1,906,14,791.202,12865
1,907,14,791.202,12897
1,908,14,791.202,12924
1,909,14,791.202,12955
1,910,14,791.202,12990
1,911,14,791.202,13024
1,912,14,791.202,13054
1,913,14,791.202,13083
1,914,14,791.202,13114
1,915,14,791.202,13142
1,916,14,791.202,13171
1,917,14,791.202,13201
1,918,14,791.202,13231
1,919,14,791.202,13264
1,920,14,791.202,13293
1,921,14,791.202,13323
1,922,14,791.202,13357
1,923,14,791.202,13388
1,924,14,791.202,13422
1,925,14,791.202,13454
1,926,14,791.202,13490
1,927,14,791.202,13521
1,928,14,791.202,13551
1,929,14,791.202,13582
1,930,14,791.202,13609
1,931,14,791.202,13640
1,932,14,791.202,13669
1,933,14,791.202,13702
1,934,14,791.202,13735
1,935,14,791.202,13767
1,936,14,791.202,13800
1,937,14,791.202,13837
1,938,14,791.202,13867
1,939,14,791.202,13900
1,940,14,791.202,13935
1,941,14,791.202,13967
1,942,14,791.202,13999
1,943,14,791.202,14030
1,944,14,791.202,14066
1,945,14,791.202,14094
1,946,14,791.202,14123
1,947,14,791.202,14154
1,948,14,791.202,14187
1,949,14,791.202,14217
1,950,14,791.202,14249
1,951,14,791.202,14279
1,952,14,791.202,14313
1,953,14,791.202,14343
1,954,14,791.202,14373
1,955,14,791.202,14407
1,956,14,791.202,14441
1,957,14,791.202,14474
1,958,14,791.202,14505
1,959,14,791.202,14537
1,960,14,791.202,14566
1,961,14,791.202,14595
1,962,14,791.202,14626
1,963,14,791.202,14658
1,964,14,791.202,14689
1,965,14,791.202,14721
1,966,14,791.202,14751
1,967,14,791.202,14785
1,968,14,791.202,14815
1,969,14,791.202,14845
1,970,14,791.202,14880
1,971,14,791.202,14915
1,972,14,791.202,14951
1,973,14,791.202,14984
1,974,14,791.202,15016
1,975,14,791.202,15045
1,976,14,791.202,15076
1,977,14,791.202,15107
1,978,14,791.202,15139
1,979,14,791.202,15173
1,980,14,791.202,15205
1,981,14,791.202,15240
1,982,14,791.202,15273
1,983,14,791.202,15305
1,984,14,791.202,15336
1,985,14,791.202,15374
1,986,14,791.202,15410
1,987,14,791.202,15446
1,988,14,791.202,15478
1,989,14,791.202,15510
1,990,14,791.202,15540
1,991,14,791.167,15571
1,992,14,791.167,15603
1,993,14,791.167,15638
1,994,14,791.167,15670
1,995,14,791.167,15701
1,996,14,791.167,15737
1,997,14,791.167,15771
1,998,14,791.167,15809
1,999,14,791.167,15845
1,1000,14,791.167,15881
