test, rrt iteration, number of waypoints, distance to goal, time
1,383,0,838.993,1916
1,384,13,838.993,1929
1,385,13,838.993,1942
1,386,13,838.993,1956
1,387,13,838.993,1970
1,388,13,838.993,1983
1,389,13,831.854,1997
1,390,13,831.854,2011
1,391,13,831.854,2025
1,392,13,831.854,2037
1,393,13,831.854,2052
1,394,13,831.854,2066
1,395,13,831.854,2080
1,396,13,831.854,2094
1,397,13,831.854,2105
1,398,13,827.253,2118
1,399,14,827.253,2130
1,400,14,816.995,2143
1,401,13,816.995,2157
1,402,13,816.995,2171
1,403,13,816.995,2184
1,404,13,816.995,2199
1,405,13,816.995,2213
1,406,12,816.995,2228
1,407,12,816.995,2243
1,408,12,816.995,2258
1,409,12,816.995,2272
1,410,12,816.995,2287
1,411,12,816.995,2299
1,412,12,816.995,2314
1,413,12,816.995,2328
1,414,12,816.995,2343
1,415,12,816.995,2357
1,416,12,816.995,2370
1,417,12,816.995,2383
1,418,12,816.995,2397
1,419,12,816.995,2413
1,420,12,816.995,2429
1,421,12,816.995,2444
1,422,12,816.995,2458
1,423,12,816.995,2473
1,424,12,816.995,2486
1,425,12,807.775,2500
1,426,12,807.775,2515
1,427,12,807.775,2530
1,428,12,807.775,2544
1,429,12,807.775,2560
1,430,12,807.775,2577
1,431,12,807.775,2594
1,432,12,807.775,2609
1,433,12,807.775,2626
1,434,12,807.775,2642
1,435,12,807.775,2657
1,436,12,807.775,2672
1,437,12,807.775,2686
1,438,12,807.775,2699
1,439,12,807.775,2714
1,440,12,807.775,2729
1,441,12,807.775,2745
1,442,12,807.775,2758
1,443,12,807.775,2773
1,444,12,807.775,2786
1,445,12,807.775,2803
1,446,12,807.775,2820
1,447,12,807.775,2836
1,448,12,807.775,2851
1,449,12,807.775,2865
1,450,12,807.775,2879
1,451,12,807.775,2894
1,452,12,807.775,2909
1,453,12,807.775,2924
1,454,12,807.775,2941
1,455,12,807.775,2958
1,456,12,807.775,2976
1,457,12,807.775,2996
1,458,12,807.775,3014
1,459,12,807.775,3032
1,460,12,807.775,3049
1,461,12,807.775,3066
1,462,11,807.775,3080
1,463,11,807.775,3095
1,464,11,807.775,3110
1,465,11,807.775,3125
1,466,11,807.775,3140
1,467,11,807.775,3155
1,468,11,807.775,3171
1,469,11,807.775,3185
1,470,11,807.775,3200
1,471,11,807.775,3218
1,472,11,807.775,3235
1,473,11,807.775,3251
1,474,11,807.775,3266
1,475,11,807.775,3281
1,476,11,807.775,3297
1,477,11,807.775,3314
1,478,11,807.775,3330
1,479,11,807.775,3346
1,480,11,807.775,3361
1,481,11,807.399,3376
1,482,11,807.399,3393
1,483,11,807.399,3411
1,484,11,807.399,3428
1,485,11,807.399,3445
1,486,11,807.399,3460
1,487,11,807.399,3477
1,488,11,807.399,3493
1,489,11,807.399,3509
1,490,11,807.399,3525
1,491,11,807.399,3540
1,492,11,807.399,3557
1,493,13,807.399,3574
1,494,13,807.399,3595
1,495,13,807.399,3611
1,496,14,807.399,3632
1,497,14,807.399,3650
1,498,14,807.399,3669
1,499,14,807.399,3686
1,500,14,807.399,3701
1,501,14,803.839,3717
1,502,14,803.839,3734
1,503,14,803.839,3752
1,504,14,803.839,3769
1,505,14,803.839,3786
1,506,14,803.839,3802
1,507,14,803.839,3819
1,508,14,803.839,3835
1,509,14,803.839,3850
1,510,14,803.839,3867
1,511,14,803.839,3883
1,512,14,803.839,3899
1,513,14,803.839,3917
1,514,14,803.839,3935
1,515,14,803.839,3950
1,516,14,803.839,3965
1,517,14,803.839,3981
1,518,14,803.839,4000
1,519,14,803.839,4017
1,520,14,803.839,4035
1,521,14,803.839,4053
1,522,14,803.839,4072
1,523,14,803.839,4088
1,524,14,803.839,4108
1,525,14,803.439,4126
1,526,14,803.386,4143
1,527,14,803.386,4164
1,528,14,803.386,4184
1,529,14,803.386,4202
1,530,14,803.386,4217
1,531,14,803.386,4234
1,532,14,803.386,4250
1,533,14,803.386,4268
1,534,14,803.386,4287
1,535,13,803.386,4306
1,536,13,803.386,4323
1,537,13,803.386,4341
1,538,13,803.386,4362
1,539,13,803.386,4381
1,540,13,803.386,4404
1,541,13,803.386,4425
1,542,13,797.565,4446
1,543,13,797.565,4466
1,544,13,797.565,4485
1,545,13,797.565,4502
1,546,13,797.565,4520
1,547,13,797.565,4540
