test, rrt iteration, number of waypoints, distance to goal, time
1,279,0,848.822,1124
1,280,11,848.822,1133
1,281,11,848.822,1143
1,282,11,848.822,1153
1,283,11,848.822,1162
1,284,11,848.822,1172
1,285,11,815.161,1184
1,286,11,815.161,1194
1,287,11,815.161,1206
1,288,11,814.224,1217
1,289,11,814.224,1228
1,290,11,814.224,1238
1,291,11,814.224,1247
1,292,11,814.224,1257
1,293,11,814.224,1266
1,294,11,814.224,1276
1,295,11,814.224,1286
1,296,11,814.224,1297
1,297,11,814.224,1309
1,298,11,814.224,1319
1,299,11,814.224,1332
1,300,11,814.224,1344
1,301,11,814.224,1355
1,302,11,814.224,1366
1,303,11,814.224,1375
1,304,11,814.224,1385
1,305,11,814.224,1395
1,306,11,814.224,1405
1,307,11,814.224,1416
1,308,11,814.224,1427
1,309,11,814.224,1440
1,310,11,814.224,1450
1,311,11,814.224,1461
1,312,11,814.224,1473
1,313,11,814.224,1484
1,314,11,814.224,1495
1,315,11,814.224,1504
1,316,11,814.224,1514
1,317,11,814.224,1526
1,318,11,814.224,1536
1,319,11,814.224,1547
1,320,11,814.224,1558
1,321,11,814.224,1572
1,322,11,814.224,1586
1,323,11,814.224,1599
1,324,11,814.224,1610
1,325,11,814.224,1622
1,326,11,814.224,1633
1,327,11,814.224,1643
1,328,11,814.224,1653
1,329,11,814.224,1665
1,330,11,814.224,1676
1,331,11,814.224,1688
1,332,11,814.224,1699
1,333,11,814.224,1711
1,334,11,814.224,1725
1,335,11,814.224,1739
1,336,11,814.224,1752
1,337,11,814.224,1765
1,338,11,814.224,1778
1,339,11,814.224,1788
1,340,11,814.224,1799
1,341,11,810.458,1811
1,342,11,810.458,1823
1,343,11,810.458,1835
1,344,11,810.458,1847
1,345,11,810.458,1860
1,346,11,810.458,1872
1,347,11,810.458,1885
1,348,11,810.458,1897
1,349,11,810.458,1910
1,350,11,810.458,1922
1,351,11,810.458,1933
1,352,11,810.458,1944
1,353,11,809.001,1956
1,354,12,809.001,1968
1,355,12,809.001,1980
1,356,12,809.001,1992
1,357,12,809.001,2005
1,358,12,809.001,2018
1,359,12,809.001,2030
1,360,12,809.001,2044
1,361,12,809.001,2057
1,362,12,809.001,2070
1,363,12,809.001,2083
1,364,12,809.001,2093
1,365,12,809.001,2105
1,366,12,809.001,2118
1,367,12,809.001,2131
1,368,12,809.001,2144
1,369,12,809.001,2158
1,370,12,809.001,2170
1,371,12,809.001,2183
1,372,12,809.001,2196
1,373,12,809.001,2208
1,374,12,809.001,2222
1,375,12,809.001,2236
1,376,12,809.001,2249
1,377,12,809.001,2260
1,378,12,809.001,2272
1,379,12,809.001,2285
1,380,12,809.001,2298
1,381,12,809.001,2311
1,382,12,809.001,2323
1,383,12,809.001,2338
1,384,12,809.001,2353
1,385,12,809.001,2366
1,386,12,809.001,2381
1,387,12,806.323,2396
1,388,12,806.323,2410
1,389,12,806.323,2423
1,390,12,806.323,2435
1,391,12,806.323,2447
1,392,12,806.323,2460
1,393,12,806.323,2474
1,394,12,806.323,2487
1,395,12,806.323,2501
1,396,12,806.323,2516
1,397,12,806.323,2530
1,398,12,806.323,2546
1,399,12,806.323,2562
1,400,12,806.323,2577
1,401,12,806.323,2591
1,402,12,806.323,2605
1,403,12,806.323,2617
1,404,12,804.427,2630
1,405,12,804.427,2643
1,406,12,804.427,2658
1,407,12,804.427,2672
1,408,12,804.427,2687
1,409,12,804.427,2701
1,410,12,804.427,2717
1,411,12,804.427,2733
1,412,12,804.427,2750
1,413,12,804.427,2765
1,414,12,804.427,2780
1,415,12,804.427,2794
1,416,12,804.427,2807
1,417,12,804.427,2819
1,418,12,804.427,2834
1,419,12,804.427,2848
1,420,12,804.427,2863
1,421,12,804.427,2878
1,422,12,804.427,2892
1,423,12,804.427,2907
1,424,12,804.427,2921
1,425,12,804.427,2938
1,426,12,804.427,2952
1,427,12,804.427,2967
1,428,12,804.427,2982
1,429,12,804.427,2995
1,430,12,804.427,3009
1,431,12,800.592,3023
1,432,12,800.592,3038
1,433,12,800.592,3054
1,434,12,800.592,3069
1,435,12,800.592,3083
1,436,12,800.592,3098
1,437,12,800.592,3113
1,438,12,800.592,3129
1,439,12,800.592,3144
1,440,12,800.592,3160
1,441,12,800.592,3174
1,442,12,800.592,3187
1,443,12,800.592,3201
1,444,12,800.592,3216
1,445,12,800.592,3231
1,446,12,800.592,3246
1,447,12,800.592,3262
1,448,12,800.592,3276
1,449,12,800.592,3294
1,450,12,800.592,3309
1,451,12,800.592,3326
1,452,12,800.592,3341
1,453,12,800.592,3358
1,454,12,800.592,3373
1,455,12,800.592,3387
1,456,12,800.592,3401
1,457,12,800.592,3416
1,458,12,800.592,3432
1,459,12,800.592,3447
1,460,12,800.592,3462
1,461,12,800.592,3477
1,462,12,800.592,3495
1,463,12,800.592,3513
1,464,12,800.592,3531
1,465,12,800.592,3549
1,466,12,800.592,3567
1,467,12,800.592,3583
1,468,12,800.592,3597
1,469,12,800.592,3611
1,470,12,800.592,3626
1,471,12,800.592,3642
1,472,12,800.592,3658
1,473,12,800.592,3675
1,474,12,800.592,3692
1,475,12,800.592,3709
1,476,12,800.592,3728
1,477,12,800.592,3745
1,478,12,800.592,3762
1,479,12,800.592,3780
1,480,12,800.592,3796
1,481,12,800.592,3810
1,482,12,800.592,3826
1,483,12,800.592,3842
1,484,12,800.592,3859
1,485,12,800.592,3875
1,486,12,800.592,3892
1,487,13,800.592,3908
1,488,13,800.592,3924
1,489,13,800.592,3939
1,490,13,800.592,3960
1,491,13,800.592,3979
1,492,13,800.287,3999
1,493,13,800.287,4016
1,494,13,800.287,4033
1,495,13,800.287,4047
1,496,13,800.287,4063
