test, rrt iteration, number of waypoints, distance to goal, time
1,285,0,646.023,1319
1,286,12,646.023,1329
1,287,12,646.023,1340
1,288,12,646.023,1350
1,289,12,646.023,1360
1,290,12,646.023,1370
1,291,12,646.023,1381
1,292,12,645.748,1392
1,293,12,645.748,1403
1,294,12,645.748,1415
1,295,12,645.748,1426
1,296,12,645.748,1437
1,297,12,645.748,1451
1,298,12,645.748,1460
1,299,12,645.748,1470
1,300,12,645.748,1481
1,301,12,645.748,1492
1,302,12,645.748,1503
1,303,12,645.748,1513
1,304,12,645.748,1524
1,305,12,645.748,1536
1,306,12,645.748,1548
1,307,12,640.932,1560
1,308,12,640.932,1574
1,309,12,640.932,1589
1,310,12,640.932,1601
1,311,12,640.932,1610
1,312,12,640.932,1621
1,313,12,640.932,1632
1,314,12,640.932,1644
1,315,12,640.932,1656
1,316,12,640.932,1669
1,317,12,640.932,1681
1,318,12,640.932,1693
1,319,12,640.932,1706
1,320,12,640.932,1721
1,321,12,640.932,1735
1,322,12,640.932,1748
1,323,12,640.932,1758
1,324,12,640.932,1768
1,325,12,640.932,1779
1,326,12,638.379,1791
1,327,12,638.379,1803
1,328,12,638.379,1815
1,329,12,638.379,1827
1,330,12,638.379,1839
1,331,12,638.379,1852
1,332,12,638.379,1866
1,333,12,638.379,1880
1,334,12,638.379,1893
1,335,12,638.379,1906
1,336,12,638.379,1919
1,337,12,638.379,1929
1,338,12,638.379,1941
1,339,12,638.379,1953
1,340,12,638.379,1966
1,341,12,638.379,1978
1,342,12,638.379,1990
1,343,13,638.379,2002
1,344,13,638.379,2014
1,345,13,638.379,2027
1,346,13,638.379,2040
1,347,13,638.379,2055
1,348,13,638.379,2068
1,349,13,638.379,2081
1,350,13,638.379,2093
1,351,13,638.379,2104
1,352,13,636.579,2116
1,353,13,635.881,2129
1,354,13,635.881,2141
1,355,13,635.881,2153
1,356,13,635.881,2166
1,357,13,635.881,2180
1,358,13,635.881,2193
1,359,13,635.881,2208
1,360,13,635.881,2221
1,361,13,635.881,2236
1,362,13,635.881,2252
1,363,13,635.881,2267
1,364,13,631.33,2280
1,365,13,631.33,2291
1,366,13,631.33,2304
1,367,13,629.202,2318
1,368,13,629.202,2331
1,369,13,629.202,2346
1,370,13,629.202,2360
1,371,13,629.202,2373
1,372,13,629.202,2387
1,373,13,629.202,2402
1,374,13,629.202,2417
1,375,13,629.202,2433
1,376,14,629.202,2447
1,377,14,629.202,2465
1,378,14,629.202,2480
1,379,14,629.202,2492
1,380,14,629.202,2504
1,381,14,629.202,2518
1,382,14,629.202,2533
1,383,14,629.202,2547
1,384,14,629.202,2560
1,385,14,629.202,2576
1,386,14,629.202,2590
1,387,14,629.202,2604
1,388,14,629.202,2620
1,389,14,629.202,2637
1,390,14,629.202,2655
1,391,14,629.202,2672
1,392,14,629.202,2687
1,393,14,629.202,2703
1,394,14,629.202,2719
1,395,14,629.202,2730
1,396,14,629.202,2744
1,397,14,629.202,2760
1,398,14,629.202,2775
1,399,14,629.202,2791
1,400,14,629.202,2805
1,401,14,629.202,2821
1,402,14,629.202,2838
1,403,14,629.202,2860
1,404,14,629.202,2881
1,405,14,629.202,2899
1,406,14,629.202,2918
1,407,14,629.202,2933
1,408,14,629.202,2949
1,409,13,629.202,2965
1,410,13,629.202,2980
1,411,13,629.202,2995
1,412,13,629.202,3011
1,413,13,629.202,3025
1,414,13,629.202,3041
1,415,13,628.223,3056
1,416,13,628.223,3074
1,417,13,628.223,3093
1,418,13,628.223,3110
1,419,13,628.223,3127
1,420,13,628.223,3143
1,421,13,628.223,3160
1,422,13,628.223,3175
1,423,13,628.223,3188
1,424,13,628.223,3202
1,425,13,628.223,3219
1,426,13,628.216,3235
1,427,13,628.216,3254
1,428,13,628.216,3269
1,429,13,628.216,3286
1,430,12,628.216,3304
1,431,12,628.216,3323
1,432,12,628.216,3341
1,433,12,628.216,3358
1,434,12,625.63,3375
1,435,12,625.63,3389
1,436,12,625.63,3405
1,437,12,625.63,3421
1,438,12,625.63,3436
1,439,12,625.63,3452
1,440,12,625.63,3468
1,441,12,625.63,3486
1,442,12,625.63,3505
1,443,12,625.63,3522
1,444,12,625.63,3538
1,445,12,625.63,3557
1,446,12,625.63,3573
1,447,12,625.63,3591
1,448,12,625.63,3608
1,449,12,625.63,3624
1,450,12,625.63,3640
1,451,12,625.63,3656
1,452,12,625.63,3672
1,453,12,625.63,3690
1,454,12,625.63,3707
1,455,12,625.63,3726
1,456,12,625.63,3743
1,457,12,625.63,3762
1,458,12,625.63,3781
1,459,12,625.63,3799
1,460,12,625.63,3815
1,461,12,625.63,3831
1,462,12,625.63,3849
1,463,12,625.63,3865
1,464,12,625.63,3884
1,465,12,625.63,3900
1,466,12,625.63,3918
1,467,12,625.63,3938
1,468,12,625.63,3958
1,469,12,625.63,3976
1,470,12,625.63,3996
1,471,12,625.63,4013
1,472,12,625.63,4031
1,473,12,625.63,4048
1,474,12,625.63,4066
1,475,12,625.63,4081
1,476,12,625.63,4098
1,477,12,625.63,4117
1,478,12,625.63,4135
1,479,12,625.63,4152
1,480,12,625.63,4170
1,481,12,625.63,4191
1,482,12,625.63,4210
1,483,12,625.63,4229
1,484,12,625.63,4250
1,485,12,625.63,4269
1,486,12,625.63,4288
1,487,12,625.63,4306
1,488,12,625.63,4321
1,489,12,625.63,4339
1,490,12,625.63,4356
1,491,12,625.63,4376
1,492,13,625.63,4394
1,493,13,625.63,4412
1,494,13,625.63,4432
1,495,13,625.63,4452
1,496,13,624.266,4471
1,497,12,624.266,4491
1,498,12,624.266,4513
1,499,12,624.266,4530
1,500,12,624.266,4548
1,501,12,624.266,4568
1,502,12,624.266,4587
1,503,12,624.266,4606
1,504,12,624.266,4624
1,505,12,624.266,4643
1,506,12,624.266,4663
1,507,12,624.266,4681
1,508,12,624.266,4702
1,509,12,624.266,4721
1,510,12,624.266,4742
1,511,12,624.266,4761
1,512,12,624.266,4780
1,513,12,624.266,4796
1,514,12,624.266,4816
1,515,12,624.266,4834
1,516,12,624.266,4854
1,517,12,621.974,4875
1,518,12,621.974,4895
1,519,12,621.974,4915
1,520,12,621.974,4934
1,521,12,621.974,4954
1,522,12,621.974,4973
1,523,12,621.974,4994
1,524,12,621.974,5014
1,525,12,621.974,5033
1,526,12,621.974,5050
1,527,12,621.974,5070
1,528,12,621.974,5088
1,529,12,621.974,5108
1,530,12,621.974,5129
1,531,12,621.974,5151
1,532,12,621.974,5174
1,533,12,621.974,5193
1,534,12,621.974,5213
1,535,12,621.974,5234
1,536,12,621.974,5255
1,537,12,621.974,5276
1,538,12,621.974,5294
1,539,12,621.974,5314
1,540,12,621.974,5334
1,541,12,621.974,5353
1,542,12,621.974,5372
1,543,12,621.974,5394
1,544,12,621.974,5414
1,545,12,621.974,5437
1,546,12,621.974,5462
1,547,12,621.974,5483
1,548,12,621.974,5503
1,549,12,621.974,5527
1,550,12,621.974,5547
1,551,12,621.974,5568
1,552,12,621.974,5586
1,553,12,621.974,5605
1,554,12,621.974,5622
1,555,12,621.974,5644
1,556,12,621.974,5666
1,557,12,621.974,5686
1,558,12,621.974,5707
1,559,12,621.974,5727
1,560,12,621.974,5748
1,561,12,621.974,5769
1,562,12,621.974,5791
1,563,12,621.974,5812
1,564,12,621.974,5834
1,565,12,621.974,5856
1,566,12,621.974,5874
1,567,12,621.974,5893
1,568,12,621.974,5915
1,569,12,621.974,5936
1,570,12,621.974,5958
1,571,12,621.974,5981
1,572,12,621.974,6004
1,573,12,621.974,6029
1,574,12,621.974,6051
1,575,12,621.974,6076
1,576,12,621.974,6098
1,577,12,621.974,6120
1,578,12,621.974,6143
1,579,12,621.974,6165
1,580,12,621.974,6185
1,581,12,621.974,6207
1,582,12,621.974,6231
1,583,12,621.974,6254
1,584,12,621.974,6276
1,585,12,621.974,6298
1,586,12,621.974,6323
1,587,12,621.974,6345
1,588,12,621.974,6371
1,589,12,621.974,6393
1,590,12,621.974,6413
1,591,12,621.974,6435
1,592,12,621.974,6455
1,593,12,621.974,6475
1,594,12,621.974,6498
1,595,12,621.974,6522
1,596,12,621.974,6548
1,597,12,621.974,6571
1,598,12,621.974,6595
1,599,12,621.974,6618
1,600,12,621.974,6640
1,601,12,621.974,6661
1,602,12,621.974,6684
1,603,12,621.974,6704
1,604,12,621.974,6725
1,605,12,621.974,6747
1,606,12,621.974,6767
1,607,12,621.974,6788
1,608,12,621.974,6812
1,609,12,621.974,6836
1,610,12,621.974,6859
1,611,12,621.974,6884
1,612,12,621.974,6909
1,613,12,621.974,6934
1,614,12,621.974,6957
1,615,12,621.974,6980
1,616,12,621.974,7000
1,617,12,621.974,7024
1,618,12,621.971,7046
1,619,12,621.971,7067
1,620,12,621.971,7090
1,621,12,621.971,7113
1,622,12,621.971,7137
1,623,12,621.971,7161
1,624,12,621.971,7185
1,625,12,621.971,7212
1,626,12,621.971,7237
1,627,12,621.971,7260
1,628,12,621.971,7287
1,629,12,621.971,7312
1,630,12,621.971,7332
1,631,12,621.971,7355
1,632,12,621.971,7377
1,633,12,621.971,7401
1,634,12,621.971,7426
1,635,12,621.971,7451
1,636,12,621.971,7474
1,637,12,621.971,7503
1,638,12,621.971,7531
1,639,12,621.971,7556
1,640,12,621.971,7581
1,641,12,621.971,7604
1,642,12,621.971,7627
1,643,12,621.971,7648
1,644,12,621.971,7672
1,645,12,621.971,7693
1,646,12,621.971,7719
1,647,12,621.894,7745
1,648,12,621.894,7768
1,649,12,621.894,7792
1,650,12,621.894,7818
1,651,12,621.659,7841
1,652,12,621.659,7864
1,653,12,621.659,7888
1,654,12,621.659,7913
1,655,12,621.659,7938
1,656,12,621.659,7963
1,657,12,621.659,7988
1,658,12,621.318,8011
1,659,13,621.318,8034
1,660,13,621.318,8058
1,661,13,621.318,8083
1,662,13,621.318,8109
1,663,13,621.318,8135
1,664,13,621.318,8165
1,665,13,621.318,8193
1,666,13,621.318,8220
1,667,13,621.318,8246
1,668,13,621.318,8271
1,669,13,621.318,8296
1,670,13,621.318,8321
1,671,13,621.318,8346
1,672,13,621.318,8368
1,673,13,621.318,8391
1,674,13,621.318,8416
1,675,13,621.318,8441
1,676,13,621.318,8468
1,677,13,621.318,8495
1,678,13,621.318,8520
1,679,13,621.318,8550
1,680,13,621.318,8579
1,681,13,621.318,8607
1,682,13,621.318,8635
1,683,13,621.318,8660
1,684,13,621.318,8686
1,685,13,621.318,8709
1,686,13,621.318,8733
1,687,13,621.318,8756
1,688,13,621.318,8784
1,689,13,621.318,8811
1,690,13,621.318,8836
1,691,13,621.318,8862
1,692,13,621.318,8888
1,693,12,621.318,8916
1,694,12,621.318,8945
1,695,12,621.318,8971
1,696,12,621.318,8998
1,697,12,621.318,9023
1,698,12,620.929,9046
1,699,12,620.929,9070
1,700,12,620.929,9094
1,701,12,620.929,9120
1,702,12,620.929,9147
1,703,12,620.929,9176
1,704,12,620.929,9203
1,705,12,620.929,9230
1,706,12,620.929,9263
1,707,12,620.929,9294
1,708,12,620.929,9320
1,709,12,620.929,9347
1,710,12,620.929,9371
1,711,12,620.929,9394
1,712,12,620.929,9418
1,713,12,620.929,9442
1,714,12,620.929,9471
1,715,12,620.929,9498
1,716,12,620.929,9531
1,717,12,620.929,9558
1,718,12,620.929,9584
1,719,12,620.929,9613
1,720,12,620.929,9641
1,721,12,620.929,9667
1,722,12,620.929,9695
1,723,12,620.929,9718
1,724,12,620.929,9745
1,725,12,620.929,9770
1,726,12,620.929,9794
1,727,12,620.929,9823
1,728,12,620.929,9852
1,729,12,620.929,9883
1,730,12,620.929,9912
1,731,12,620.929,9941
1,732,12,620.929,9969
1,733,12,620.929,10001
1,734,12,620.929,10032
1,735,12,620.929,10060
1,736,12,620.929,10088
1,737,12,620.929,10115
1,738,12,620.929,10141
1,739,12,620.929,10165
1,740,12,620.694,10192
1,741,12,620.694,10222
1,742,12,620.694,10248
1,743,12,620.617,10275
1,744,12,620.617,10304
1,745,12,620.617,10333
1,746,12,620.617,10363
1,747,12,620.617,10393
1,748,12,620.617,10420
1,749,12,620.617,10449
1,750,12,620.617,10480
1,751,12,620.617,10505
1,752,12,620.617,10532
1,753,12,620.617,10570
1,754,12,620.617,10605
1,755,12,620.617,10634
1,756,12,620.617,10666
1,757,12,620.617,10701
1,758,12,620.617,10733
1,759,12,620.617,10763
1,760,12,620.617,10793
1,761,12,620.617,10824
1,762,12,620.617,10853
1,763,12,620.617,10882
1,764,12,620.617,10909
1,765,12,620.617,10941
1,766,12,620.617,10971
1,767,12,620.617,11004
1,768,12,620.617,11036
1,769,12,620.617,11070
1,770,12,620.617,11101
1,771,12,620.617,11132
1,772,12,620.617,11160
1,773,12,620.617,11189
1,774,12,620.617,11220
1,775,12,620.617,11251
1,776,12,620.617,11280
1,777,12,620.567,11307
1,778,12,620.432,11336
1,779,11,620.432,11368
1,780,11,620.432,11401
1,781,11,620.432,11433
1,782,11,620.432,11464
1,783,11,620.432,11494
1,784,11,620.432,11530
1,785,11,620.432,11562
1,786,11,620.432,11591
1,787,11,620.432,11622
1,788,11,620.432,11648
1,789,11,620.432,11676
1,790,11,619.368,11706
1,791,11,619.368,11738
1,792,11,619.368,11771
1,793,11,619.368,11803
1,794,11,619.368,11839
1,795,11,619.368,11870
1,796,11,619.368,11903
1,797,11,619.368,11934
1,798,11,619.368,11962
1,799,11,619.368,11991
1,800,11,619.368,12023
1,801,11,619.368,12050
1,802,11,618.986,12079
1,803,13,618.986,12109
1,804,13,618.986,12141
1,805,13,618.986,12175
1,806,13,618.986,12211
1,807,13,618.986,12245
1,808,13,618.986,12280
1,809,13,618.986,12315
1,810,13,618.986,12347
1,811,13,618.986,12379
1,812,13,618.986,12412
1,813,13,618.986,12440
1,814,13,618.986,12470
1,815,13,618.986,12498
1,816,13,618.986,12527
1,817,13,618.986,12557
1,818,13,618.986,12596
1,819,13,618.986,12630
1,820,13,618.986,12665
1,821,13,618.986,12703
1,822,13,618.986,12743
1,823,13,618.986,12781
1,824,13,618.986,12813
1,825,13,618.986,12847
1,826,13,618.986,12880
1,827,13,618.986,12910
1,828,13,618.986,12938
1,829,13,618.986,12966
1,830,13,618.986,12996
1,831,13,618.986,13029
1,832,13,618.986,13062
1,833,13,618.986,13092
1,834,13,618.986,13129
1,835,13,618.986,13162
1,836,13,618.986,13196
1,837,14,618.986,13227
1,838,14,618.986,13261
1,839,14,618.985,13291
1,840,14,618.985,13322
1,841,14,618.985,13350
1,842,14,618.985,13381
1,843,14,618.985,13404
1,844,14,618.985,13432
1,845,14,618.001,13463
1,846,13,618.001,13497
1,847,13,618.001,13528
1,848,13,618.001,13561
1,849,13,618.001,13593
1,850,13,618.001,13631
1,851,13,618.001,13665
1,852,13,618.001,13702
1,853,13,618.001,13733
1,854,13,618.001,13764
1,855,13,618.001,13794
1,856,13,618.001,13823
1,857,13,618.001,13855
1,858,13,618.001,13885
1,859,13,617.386,13915
1,860,14,617.386,13950
1,861,14,617.386,13988
1,862,14,617.386,14021
1,863,14,617.386,14054
1,864,14,617.386,14089
1,865,14,617.386,14125
1,866,14,617.386,14160
1,867,14,617.386,14199
1,868,14,617.386,14239
1,869,14,617.386,14271
1,870,14,617.386,14300
1,871,14,617.386,14335
1,872,14,617.386,14359
1,873,14,617.386,14388
1,874,14,617.386,14419
1,875,14,617.386,14456
1,876,14,617.386,14488
1,877,14,617.386,14527
1,878,14,617.386,14558
1,879,14,617.386,14595
1,880,14,617.386,14636
1,881,14,617.386,14671
1,882,14,617.386,14707
1,883,14,617.386,14738
