test, rrt iteration, number of waypoints, distance to goal, time
1,488,0,1026.74,3731
1,489,17,1026.74,3747
1,490,17,1014.78,3763
1,491,18,1014.78,3779
1,492,18,1014.78,3796
1,493,18,1014.78,3816
1,494,18,1014.78,3833
1,495,18,1014.78,3850
1,496,18,1014.78,3870
1,497,18,1014.78,3887
1,498,18,1014.78,3906
1,499,17,1014.78,3924
1,500,17,1014.78,3941
1,501,17,1014.78,3959
1,502,17,1014.78,3980
1,503,17,1014.78,4003
1,504,17,1014.78,4027
1,505,17,1014.78,4049
1,506,17,1014.78,4071
1,507,17,1014.78,4087
1,508,17,1014.78,4103
1,509,17,1014.78,4121
1,510,17,1011.23,4138
1,511,17,1011.23,4156
1,512,17,1011.23,4188
1,513,17,1011.23,4205
1,514,17,1011.23,4223
1,515,17,1011.23,4243
1,516,17,1011.23,4261
1,517,17,1011.23,4280
1,518,17,1011.23,4297
1,519,17,1011.23,4320
1,520,17,1011.23,4338
1,521,17,1011.23,4361
1,522,17,1011.23,4379
1,523,17,1011.23,4402
1,524,17,1011.23,4419
1,525,17,1011.23,4436
1,526,17,1010.86,4453
1,527,17,1010.86,4470
1,528,17,1010.86,4492
1,529,17,1010.86,4515
1,530,17,1010.86,4538
1,531,17,1010.86,4558
1,532,17,1010.86,4577
1,533,17,1010.86,4595
1,534,17,1010.86,4614
1,535,17,1010.86,4633
1,536,17,1010.86,4654
1,537,17,1010.86,4679
1,538,17,1010.86,4701
1,539,17,1010.86,4725
1,540,17,1010.86,4771
1,541,17,1010.86,4790
1,542,17,1010.86,4809
1,543,17,1010.86,4827
1,544,17,1010.86,4846
1,545,17,1010.86,4866
1,546,17,1010.86,4886
1,547,17,1010.86,4905
1,548,17,1010.86,4925
1,549,17,1010.86,4944
1,550,17,1010.86,4964
1,551,17,1010.86,4983
1,552,17,1010.86,5007
1,553,17,1010.86,5029
1,554,17,1010.86,5055
1,555,17,1008.43,5078
1,556,17,1008.43,5100
1,557,17,1008.43,5133
1,558,17,1008.43,5152
1,559,17,1008.43,5171
1,560,17,1003.88,5190
1,561,18,1003.88,5214
1,562,18,1003.88,5234
1,563,18,1003.88,5254
1,564,17,1003.88,5274
1,565,17,1003.88,5296
1,566,17,1003.88,5318
1,567,17,1003.88,5337
1,568,17,1003.88,5357
1,569,17,1003.88,5380
1,570,17,1003.88,5405
1,571,17,1003.88,5427
1,572,17,1003.88,5450
1,573,17,1003.88,5476
1,574,17,1003.88,5500
1,575,17,999.173,5519
1,576,17,999.173,5538
1,577,17,999.173,5558
1,578,17,999.173,5578
1,579,17,999.173,5598
1,580,17,999.173,5619
1,581,17,999.173,5639
1,582,17,999.173,5660
1,583,17,999.173,5680
1,584,17,999.173,5700
1,585,17,999.173,5720
1,586,17,999.173,5741
1,587,17,999.173,5763
1,588,17,999.173,5788
1,589,17,999.173,5813
1,590,17,999.173,5837
1,591,17,999.173,5862
1,592,17,999.173,5889
1,593,17,999.173,5908
1,594,17,999.173,5927
1,595,17,999.173,5948
1,596,17,999.173,5968
1,597,17,999.173,5988
1,598,17,999.173,6014
1,599,17,999.173,6036
1,600,17,999.173,6057
1,601,17,999.173,6079
1,602,18,999.173,6100
1,603,18,999.173,6125
1,604,18,999.173,6146
1,605,18,999.173,6166
1,606,18,999.173,6189
1,607,18,999.173,6214
1,608,18,999.173,6240
1,609,18,999.173,6264
1,610,18,999.173,6289
1,611,18,999.173,6307
1,612,18,999.173,6328
1,613,18,999.173,6349
1,614,18,999.173,6368
1,615,18,999.173,6389
1,616,18,999.173,6410
1,617,18,999.173,6434
1,618,18,999.173,6456
1,619,18,999.173,6477
1,620,18,999.173,6500
1,621,18,999.173,6524
1,622,18,999.173,6549
1,623,18,999.173,6571
1,624,18,999.173,6592
1,625,18,999.173,6616
1,626,18,999.173,6645
1,627,18,999.173,6673
1,628,18,999.173,6698
1,629,18,999.173,6723
1,630,18,999.173,6744
1,631,18,999.173,6765
1,632,18,984,6787
1,633,19,984,6808
1,634,19,984,6829
1,635,19,984,6851
1,636,19,984,6872
1,637,19,984,6895
1,638,19,984,6918
1,639,19,984,6943
1,640,19,984,6966
1,641,19,984,6989
1,642,19,981.217,7013
1,643,19,981.217,7040
1,644,19,981.217,7063
1,645,19,981.217,7088
1,646,19,981.217,7113
1,647,19,981.217,7141
1,648,19,981.217,7166
1,649,19,981.217,7197
1,650,19,981.217,7218
1,651,19,981.217,7239
1,652,19,981.217,7261
1,653,19,981.217,7284
1,654,19,981.217,7308
1,655,19,981.217,7330
1,656,19,981.217,7354
1,657,19,981.217,7382
1,658,19,981.217,7406
1,659,19,981.217,7429
1,660,19,981.217,7453
1,661,19,975.416,7476
1,662,19,975.416,7499
1,663,19,975.416,7523
1,664,19,975.416,7546
1,665,19,975.416,7574
1,666,19,974.679,7600
1,667,19,974.679,7628
1,668,19,974.679,7675
1,669,19,974.679,7696
1,670,19,974.679,7719
1,671,19,974.679,7743
1,672,19,974.679,7766
1,673,19,974.679,7789
1,674,19,974.679,7812
1,675,19,974.679,7836
1,676,19,974.679,7863
1,677,19,974.679,7888
1,678,19,974.679,7914
1,679,19,974.679,7938
1,680,19,974.679,7962
1,681,19,974.679,7986
1,682,19,974.679,8012
1,683,19,974.679,8035
1,684,19,974.679,8067
1,685,19,974.679,8097
1,686,19,974.679,8127
1,687,19,974.679,8156
1,688,19,974.679,8187
1,689,19,974.679,8211
1,690,19,974.679,8233
1,691,19,974.679,8256
1,692,19,974.679,8285
1,693,19,974.679,8309
1,694,19,974.679,8339
1,695,19,974.679,8363
1,696,19,974.679,8388
1,697,19,974.679,8433
1,698,19,974.679,8458
1,699,19,974.679,8483
1,700,19,974.679,8508
1,701,19,974.679,8532
1,702,19,974.679,8557
1,703,19,974.679,8583
1,704,19,974.679,8611
1,705,19,974.679,8642
1,706,19,974.679,8672
1,707,19,974.679,8701
1,708,19,974.679,8724
1,709,19,974.679,8748
1,710,19,974.679,8773
1,711,19,974.679,8798
1,712,19,974.679,8822
1,713,19,974.679,8846
1,714,19,974.679,8872
1,715,19,974.397,8901
1,716,19,974.397,8929
1,717,19,974.397,8955
1,718,19,974.397,8981
1,719,19,974.397,9008
1,720,19,974.397,9034
1,721,19,974.397,9061
1,722,19,974.397,9086
1,723,19,974.397,9117
1,724,19,974.397,9148
1,725,19,974.397,9178
1,726,19,974.397,9206
1,727,19,974.397,9237
1,728,19,974.397,9261
1,729,19,974.397,9285
1,730,19,974.397,9309
1,731,19,974.397,9335
1,732,19,974.397,9361
1,733,19,974.397,9388
1,734,19,974.397,9414
1,735,19,974.397,9440
1,736,19,974.397,9466
1,737,19,974.397,9492
1,738,19,974.397,9518
1,739,19,974.397,9544
1,740,19,974.397,9569
1,741,19,974.397,9596
1,742,19,974.397,9622
1,743,19,974.397,9653
1,744,19,974.397,9683
1,745,19,974.397,9713
1,746,19,974.397,9764
1,747,19,974.397,9788
1,748,19,974.397,9813
1,749,19,974.397,9839
1,750,19,974.397,9864
1,751,19,974.397,9888
1,752,19,974.397,9915
1,753,19,974.397,9942
1,754,19,974.397,9970
1,755,19,974.397,10003
1,756,19,974.397,10031
1,757,19,974.397,10058
1,758,19,974.397,10086
1,759,19,974.397,10116
1,760,19,974.397,10144
1,761,19,974.397,10171
1,762,19,974.397,10202
1,763,19,974.397,10233
1,764,19,974.397,10266
1,765,19,974.397,10298
1,766,19,974.397,10330
1,767,19,974.397,10355
1,768,19,974.394,10380
1,769,19,974.394,10406
1,770,19,974.394,10432
1,771,19,974.394,10465
1,772,19,974.394,10492
1,773,19,974.394,10524
1,774,19,974.394,10552
1,775,19,974.394,10579
1,776,19,974.394,10607
1,777,19,974.394,10634
1,778,19,974.394,10663
1,779,18,974.394,10691
1,780,18,974.394,10719
1,781,18,974.394,10751
1,782,18,974.394,10783
1,783,18,974.394,10816
1,784,18,974.394,10849
1,785,18,974.394,10903
1,786,18,974.394,10929
1,787,18,974.394,10955
1,788,18,974.394,10980
1,789,18,974.394,11008
1,790,18,974.394,11034
1,791,18,974.394,11062
1,792,18,974.394,11090
1,793,18,974.394,11118
1,794,18,974.394,11147
1,795,18,974.394,11177
1,796,18,974.394,11205
1,797,18,974.394,11234
1,798,18,974.394,11264
1,799,18,974.394,11294
1,800,18,974.394,11327
1,801,18,974.286,11360
1,802,18,974.286,11392
1,803,18,974.286,11426
1,804,18,974.286,11460
1,805,18,974.286,11486
1,806,18,974.286,11514
1,807,18,974.286,11541
1,808,18,974.286,11568
1,809,18,974.286,11597
1,810,18,974.286,11626
1,811,18,973.827,11659
1,812,18,973.827,11688
1,813,18,973.827,11720
1,814,18,973.827,11748
1,815,18,973.827,11778
1,816,18,973.827,11807
1,817,18,973.827,11836
1,818,18,973.827,11870
1,819,18,973.827,11903
1,820,18,973.827,11937
1,821,18,973.827,11974
1,822,18,973.827,12010
1,823,18,973.827,12042
1,824,18,973.827,12070
1,825,18,973.827,12098
1,826,18,973.827,12126
1,827,18,973.827,12155
1,828,18,973.827,12184
1,829,18,973.827,12218
1,830,18,973.827,12248
1,831,18,973.795,12278
1,832,18,973.795,12308
1,833,18,973.795,12337
1,834,18,973.795,12366
1,835,19,973.795,12398
1,836,19,973.795,12428
1,837,19,973.795,12457
1,838,19,973.795,12492
1,839,19,973.795,12527
1,840,19,973.795,12560
1,841,19,973.795,12597
1,842,19,973.795,12632
1,843,19,973.795,12660
1,844,19,973.795,12687
1,845,19,973.795,12717
1,846,19,973.795,12746
1,847,19,973.795,12774
1,848,19,973.795,12806
1,849,19,973.795,12836
1,850,19,973.795,12870
1,851,19,973.795,12906
1,852,19,973.795,12936
1,853,19,973.795,12967
1,854,19,973.795,12998
1,855,19,973.795,13027
1,856,19,973.795,13056
1,857,19,973.795,13086
1,858,19,973.795,13121
1,859,19,973.795,13156
1,860,19,973.795,13191
1,861,19,973.795,13227
1,862,19,973.795,13262
1,863,19,973.795,13292
1,864,19,973.795,13319
1,865,19,971.273,13348
1,866,19,971.273,13378
1,867,19,971.273,13416
1,868,19,971.273,13447
1,869,19,971.273,13477
1,870,19,971.273,13514
1,871,19,971.273,13547
1,872,19,971.273,13578
1,873,19,971.273,13611
1,874,21,971.09,13642
1,875,21,971.09,13673
1,876,21,971.09,13705
1,877,21,971.09,13736
1,878,21,971.09,13769
1,879,21,971.09,13802
1,880,21,971.09,13838
1,881,21,971.09,13875
1,882,21,971.09,13913
1,883,21,971.09,13951
1,884,21,971.09,13987
1,885,21,971.09,14016
