test, rrt iteration, number of waypoints, distance to goal, time
1,136,0,658.232,402
1,137,9,658.232,409
1,138,9,658.232,415
1,139,9,658.232,422
1,140,9,658.232,428
1,141,9,658.232,433
1,142,9,658.232,440
1,143,9,658.232,447
1,144,9,658.232,453
1,145,9,658.232,458
1,146,9,658.232,464
1,147,9,658.232,471
1,148,9,658.232,477
1,149,9,658.232,484
1,150,9,658.232,491
1,151,9,640.804,497
1,152,9,640.804,504
1,153,9,640.804,509
1,154,9,640.804,515
1,155,9,640.804,521
1,156,9,640.804,532
1,157,9,638.057,540
1,158,9,638.057,547
1,159,9,638.057,554
1,160,9,638.057,561
1,161,9,638.057,568
1,162,9,638.057,573
1,163,9,638.057,580
1,164,9,638.057,587
1,165,9,638.057,593
1,166,9,638.057,600
1,167,9,638.057,608
1,168,9,638.057,616
1,169,9,638.057,624
1,170,9,638.057,631
1,171,9,638.057,638
1,172,9,638.057,645
1,173,9,638.057,652
1,174,9,638.057,660
1,175,9,638.057,666
1,176,9,638.057,674
1,177,9,638.057,683
1,178,9,638.057,691
1,179,9,638.057,699
1,180,9,638.057,706
1,181,9,638.057,715
1,182,9,638.057,723
1,183,9,638.057,730
1,184,9,638.057,738
1,185,9,638.057,751
1,186,9,638.057,759
1,187,9,638.057,769
1,188,9,638.057,777
1,189,10,638.057,785
1,190,10,638.057,793
1,191,10,638.057,801
1,192,11,638.057,809
1,193,11,638.057,817
1,194,11,638.057,825
1,195,11,638.057,833
1,196,11,638.057,848
1,197,11,638.057,857
1,198,11,638.057,866
1,199,11,638.057,874
1,200,11,638.057,882
1,201,11,638.057,890
1,202,11,638.057,899
1,203,11,638.057,909
1,204,11,638.057,917
1,205,11,638.057,925
1,206,11,638.057,932
1,207,11,618.625,947
1,208,11,618.625,957
1,209,11,618.625,966
1,210,11,618.625,975
1,211,11,618.625,984
1,212,11,618.625,993
1,213,11,618.625,1002
1,214,11,618.625,1012
1,215,11,618.625,1020
1,216,11,617.382,1034
1,217,11,617.382,1043
1,218,11,617.382,1052
1,219,11,617.382,1061
