test, rrt iteration, number of waypoints, distance to goal, time
1,59,0,733.688,145
1,60,10,733.688,148
1,61,10,733.688,151
1,62,10,721.735,154
1,63,9,721.735,158
1,64,9,721.735,162
1,65,9,714.231,165
1,66,9,714.231,168
1,67,8,714.231,171
1,68,8,714.231,174
1,69,8,714.231,178
1,70,8,708.44,182
1,71,8,708.44,185
1,72,8,708.44,189
1,73,8,708.44,193
1,74,8,708.44,197
1,75,8,708.44,201
1,76,8,708.44,204
1,77,8,708.44,208
1,78,8,708.44,212
1,79,8,708.44,216
1,80,8,708.44,220
1,81,8,708.44,225
1,82,8,708.44,229
1,83,8,708.44,234
1,84,8,708.44,239
1,85,7,659.574,245
1,86,8,659.574,249
1,87,8,659.574,254
1,88,8,659.574,259
1,89,8,659.574,264
1,90,8,659.574,269
1,91,8,657.532,274
1,92,8,657.532,278
1,93,8,657.532,283
1,94,8,657.532,288
1,95,8,652.144,293
1,96,8,643.021,299
1,97,7,643.021,304
1,98,7,643.021,309
1,99,7,643.021,315
1,100,7,643.021,319
1,101,7,643.021,324
1,102,7,643.021,329
1,103,7,643.021,335
1,104,7,643.021,340
1,105,7,643.021,345
1,106,7,643.021,350
1,107,7,643.021,355
1,108,7,643.021,360
1,109,7,643.021,366
1,110,7,643.021,371
1,111,7,641.489,378
1,112,7,641.489,384
1,113,7,641.489,390
1,114,7,641.489,396
1,115,7,641.489,402
1,116,7,641.489,408
1,117,7,641.489,414
1,118,7,641.489,419
1,119,7,636.35,426
1,120,7,636.35,432
1,121,7,636.35,438
1,122,7,636.35,444
1,123,7,636.35,450
1,124,7,636.35,456
1,125,7,636.35,462
1,126,7,636.35,468
1,127,7,636.35,475
1,128,7,636.35,482
1,129,7,636.35,489
1,130,7,636.35,495
1,131,7,636.35,503
1,132,7,636.35,510
1,133,7,636.35,517
1,134,7,636.35,523
1,135,7,634.156,531
1,136,7,634.156,539
1,137,7,634.156,546
1,138,7,633.445,553
1,139,7,633.445,561
1,140,7,633.445,567
1,141,7,633.445,575
1,142,7,633.445,581
1,143,7,633.317,590
1,144,8,633.317,597
1,145,7,633.317,603
1,146,7,633.317,610
1,147,7,633.317,617
1,148,7,632.946,627
1,149,7,632.946,634
1,150,7,632.932,642
1,151,7,632.932,650
1,152,7,632.932,659
1,153,7,632.932,667
1,154,7,632.932,676
1,155,7,632.932,688
1,156,7,632.932,696
1,157,7,629.492,705
1,158,7,629.492,714
1,159,7,629.492,723
1,160,7,629.492,730
1,161,7,629.492,738
1,162,7,629.492,745
1,163,7,629.492,754
1,164,7,629.492,762
1,165,7,629.492,770
1,166,7,629.492,779
1,167,7,629.492,788
1,168,7,629.492,796
1,169,7,629.492,803
1,170,7,629.492,816
1,171,7,629.492,824
1,172,7,627.903,834
1,173,7,627.903,844
1,174,7,627.903,853
1,175,7,627.903,861
1,176,7,627.903,870
1,177,7,627.903,878
1,178,7,627.903,887
1,179,7,627.903,895
1,180,7,627.439,905
1,181,7,627.439,914
1,182,7,627.439,923
1,183,7,627.439,932
1,184,7,627.439,942
1,185,7,627.439,960
1,186,7,627.439,970
1,187,7,627.439,980
1,188,7,627.439,989
1,189,7,627.439,999
1,190,7,627.439,1007
1,191,7,627.439,1016
1,192,7,627.439,1025
1,193,7,627.439,1034
1,194,7,627.439,1045
1,195,7,627.439,1055
1,196,7,627.439,1066
1,197,7,627.439,1076
1,198,7,627.439,1085
1,199,7,627.439,1092
