test, rrt iteration, number of waypoints, distance to goal, time
1,43,0,666.353,127
1,44,7,666.353,130
1,45,7,655.623,133
1,46,7,655.623,135
1,47,7,655.623,138
1,48,7,654.642,141
1,49,7,654.642,144
1,50,7,654.642,147
1,51,7,654.642,150
1,52,7,654.642,153
1,53,7,654.642,156
1,54,7,654.642,159
1,55,7,654.642,162
1,56,7,654.642,166
1,57,7,654.642,169
1,58,7,654.642,172
1,59,7,654.642,176
1,60,7,651.868,179
1,61,8,651.134,183
1,62,8,650.98,187
1,63,7,650.98,191
1,64,7,650.98,195
1,65,7,650.98,199
1,66,7,650.98,203
1,67,7,650.98,207
1,68,7,650.98,211
1,69,7,648.273,216
1,70,7,648.273,219
1,71,7,648.273,223
1,72,7,648.273,227
1,73,7,648.273,231
1,74,7,648.273,235
1,75,7,648.273,239
1,76,7,648.273,243
1,77,7,646.654,248
1,78,7,646.654,253
1,79,7,646.654,257
1,80,7,646.654,262
1,81,7,646.654,267
1,82,7,646.654,274
1,83,7,646.654,279
1,84,7,646.654,284
1,85,7,646.654,289
1,86,7,646.654,293
1,87,7,646.654,299
1,88,7,646.654,304
1,89,7,646.654,308
1,90,7,646.654,314
1,91,7,646.654,319
1,92,7,643.363,325
1,93,7,643.363,330
1,94,7,643.363,335
1,95,7,643.363,340
1,96,7,643.363,345
1,97,7,643.363,351
1,98,7,643.363,355
1,99,7,643.363,360
1,100,7,643.363,366
1,101,7,643.363,372
1,102,7,643.363,377
1,103,8,643.363,383
1,104,8,643.363,390
1,105,8,643.363,395
1,106,8,643.363,401
1,107,8,643.363,405
1,108,8,643.363,411
1,109,8,643.363,417
1,110,8,643.363,423
1,111,8,643.363,429
1,112,8,643.363,435
1,113,8,641.278,442
1,114,8,641.278,448
1,115,8,641.278,454
1,116,8,640.265,458
1,117,8,640.265,464
1,118,8,640.265,471
1,119,8,640.265,478
1,120,8,637.676,484
1,121,8,637.676,489
1,122,8,637.676,496
1,123,8,637.676,503
1,124,8,637.676,509
1,125,8,637.676,514
1,126,8,637.676,520
1,127,8,637.676,527
1,128,8,637.676,534
1,129,8,637.676,541
1,130,8,637.676,548
1,131,8,637.676,555
1,132,8,637.676,562
1,133,8,637.676,568
1,134,8,637.676,574
1,135,8,637.676,581
1,136,8,637.462,589
1,137,8,637.462,596
1,138,8,637.462,603
1,139,8,637.219,611
1,140,8,637.219,618
1,141,8,637.219,626
1,142,8,637.219,633
1,143,8,637.219,638
1,144,8,637.219,645
1,145,8,637.119,653
1,146,9,637.119,661
1,147,9,637.119,668
1,148,9,637.119,676
1,149,9,637.119,684
1,150,9,637.119,693
1,151,9,637.119,701
1,152,9,637.119,709
1,153,9,637.1,721
1,154,9,637.1,729
1,155,9,637.1,737
1,156,9,637.1,745
1,157,9,637.1,753
1,158,9,637.1,761
1,159,9,637.1,770
1,160,9,637.1,779
1,161,9,637.1,790
1,162,9,637.1,802
1,163,9,636.963,811
1,164,9,636.963,819
1,165,9,636.963,828
1,166,9,636.963,836
1,167,9,636.963,845
1,168,9,636.963,853
1,169,9,636.963,862
1,170,9,636.963,870
1,171,9,636.963,876
1,172,9,636.963,884
1,173,9,636.963,892
1,174,9,636.963,901
1,175,9,636.963,908
1,176,9,636.963,917
1,177,9,636.963,926
1,178,9,636.963,935
1,179,9,636.963,945
1,180,9,636.963,953
1,181,9,635.325,967
1,182,9,635.325,976
1,183,9,635.325,987
1,184,9,635.325,995
1,185,9,635.325,1004
1,186,9,635.149,1013
1,187,9,635.149,1022
1,188,9,635.149,1032
1,189,9,635.149,1041
1,190,9,635.149,1047
1,191,9,635.149,1055
1,192,9,635.149,1065
1,193,9,635.149,1074
1,194,9,635.149,1083
1,195,9,635.149,1094
1,196,9,635.149,1104
1,197,9,635.149,1115
1,198,9,635.149,1125
1,199,9,635.149,1135
1,200,9,635.149,1142
1,201,9,635.149,1151
1,202,9,635.149,1162
1,203,9,635.149,1173
1,204,9,635.149,1183
1,205,9,635.149,1193
1,206,9,634.248,1204
1,207,9,634.248,1214
1,208,9,634.248,1225
1,209,9,634.248,1235
1,210,9,634.248,1243
1,211,9,634.248,1253
1,212,9,634.248,1263
1,213,9,634.248,1275
1,214,9,634.248,1285
1,215,9,634.248,1296
1,216,11,634.248,1307
1,217,11,634.248,1319
1,218,10,634.248,1330
1,219,10,634.248,1341
1,220,10,634.248,1352
1,221,10,634.248,1360
1,222,10,634.248,1370
1,223,10,634.248,1382
1,224,10,634.248,1393
1,225,10,634.248,1403
1,226,10,634.248,1415
1,227,10,634.248,1427
1,228,10,634.248,1439
1,229,10,634.248,1452
1,230,10,634.248,1464
1,231,10,633.555,1475
1,232,10,633.555,1486
1,233,10,633.555,1498
1,234,10,633.555,1510
1,235,10,633.555,1523
1,236,10,633.555,1534
1,237,10,633.555,1546
1,238,10,633.555,1559
1,239,10,633.555,1571
1,240,10,633.523,1585
1,241,10,633.523,1599
1,242,10,633.523,1610
1,243,10,633.523,1622
1,244,10,633.523,1634
1,245,10,633.523,1646
1,246,10,633.523,1658
1,247,10,633.523,1669
1,248,10,633.523,1682
1,249,10,633.523,1696
1,250,10,633.523,1709
1,251,10,633.523,1723
1,252,10,633.523,1736
1,253,10,633.523,1753
1,254,10,633.523,1765
1,255,10,633.523,1778
1,256,10,633.432,1791
1,257,10,633.432,1803
1,258,10,633.432,1815
1,259,10,633.432,1829
1,260,10,633.432,1844
1,261,10,633.432,1859
1,262,10,633.432,1872
1,263,10,633.432,1881
1,264,10,633.432,1901
1,265,10,633.432,1914
1,266,10,633.432,1928
1,267,10,633.432,1941
1,268,10,633.432,1953
1,269,10,633.432,1968
1,270,10,633.432,1982
1,271,10,633.432,1997
1,272,10,633.432,2012
1,273,10,633.432,2040
1,274,10,632.785,2053
1,275,10,632.785,2067
1,276,10,632.785,2081
1,277,10,632.785,2094
1,278,10,632.785,2107
1,279,10,632.785,2120
1,280,10,632.785,2137
1,281,10,632.785,2151
1,282,10,632.785,2164
1,283,10,632.785,2178
1,284,10,632.785,2190
1,285,10,632.785,2204
1,286,10,632.785,2218
1,287,10,632.785,2231
1,288,10,632.785,2246
1,289,10,632.785,2262
