test, rrt iteration, number of waypoints, distance to goal, time
1,26,0,786.974,67
1,27,9,786.974,68
1,28,9,786.974,69
1,29,9,786.974,70
1,30,9,786.974,71
1,31,9,786.974,72
1,32,9,786.974,73
1,33,9,786.974,74
1,34,9,786.974,75
1,35,9,786.974,76
1,36,9,786.974,78
1,37,9,786.974,79
1,38,9,775.933,80
1,39,9,775.933,82
1,40,10,775.933,83
1,41,10,775.933,84
1,42,9,775.933,86
1,43,9,775.933,87
1,44,9,775.933,89
1,45,9,775.933,90
1,46,9,769.702,92
1,47,9,769.702,93
1,48,9,756.221,95
1,49,9,756.221,97
1,50,9,756.221,98
1,51,9,756.221,100
1,52,9,756.221,102
1,53,9,756.221,104
1,54,9,756.221,105
1,55,9,756.221,107
1,56,9,756.221,109
1,57,9,756.221,114
1,58,9,756.221,116
1,59,9,756.221,118
1,60,9,756.221,120
1,61,9,756.221,122
1,62,9,756.221,124
1,63,9,756.221,127
1,64,9,756.221,133
1,65,9,756.221,135
1,66,9,756.221,138
1,67,9,756.221,140
1,68,9,756.221,147
1,69,9,756.221,150
1,70,9,756.221,152
1,71,9,756.221,154
1,72,9,756.221,157
1,73,9,756.221,159
1,74,9,756.221,161
1,75,9,756.221,164
1,76,9,756.221,166
1,77,9,756.221,169
1,78,9,756.221,171
1,79,9,756.221,174
1,80,9,756.221,177
1,81,9,756.221,179
1,82,9,756.221,182
1,83,9,756.221,185
1,84,9,756.221,187
1,85,9,756.221,190
1,86,9,756.221,193
1,87,9,756.221,195
1,88,9,756.221,198
1,89,9,756.221,201
1,90,9,756.221,204
1,91,9,756.221,207
1,92,9,756.221,210
1,93,9,756.221,212
1,94,9,756.221,215
1,95,9,756.221,218
1,96,9,756.221,221
1,97,9,756.221,224
1,98,9,756.221,227
1,99,9,756.221,231
1,100,10,756.221,234
1,101,10,756.221,237
1,102,10,756.221,240
1,103,10,756.221,243
1,104,10,756.221,246
1,105,10,756.221,249
1,106,10,756.221,252
1,107,10,755.248,256
1,108,10,755.248,259
1,109,10,749.762,262
1,110,11,749.762,266
1,111,11,749.762,269
1,112,11,749.762,273
1,113,11,749.762,276
1,114,11,749.762,280
1,115,11,749.762,283
1,116,11,749.762,286
1,117,11,749.762,290
1,118,11,749.762,293
1,119,11,749.762,297
1,120,11,749.762,300
1,121,11,749.762,304
1,122,11,749.762,308
1,123,11,749.762,312
1,124,10,749.762,315
1,125,10,749.762,319
1,126,10,749.504,323
1,127,10,749.504,327
1,128,10,749.504,331
1,129,10,749.504,334
1,130,10,749.504,338
1,131,10,749.504,342
1,132,10,749.504,346
1,133,10,749.504,350
1,134,10,749.504,354
1,135,10,749.504,358
1,136,10,749.504,362
1,137,10,749.504,366
1,138,10,749.504,370
1,139,10,749.504,375
1,140,10,749.504,379
1,141,10,749.504,383
