test, rrt iteration, number of waypoints, distance to goal, number of waypoints opti, distance to goal opti
1,795,27,1765.13,21,1456.75
1,796,27,1765.13,21,1456.75
1,797,27,1765.13,21,1456.75
1,798,27,1765.13,21,1456.75
1,799,27,1765.13,21,1456.75
1,800,27,1765.13,20,1456.75
1,801,27,1765.13,20,1456.75
1,802,27,1765.13,20,1456.75
1,803,27,1765.13,20,1453.41
1,804,27,1765.13,20,1453.41
1,805,27,1765.13,20,1453.41
1,806,27,1765.13,20,1453.41
1,807,27,1765.13,20,1453.41
1,808,27,1765.13,20,1453.41
1,809,27,1765.13,20,1453.41
1,810,27,1765.13,20,1453.41
1,811,27,1765.13,21,1453.41
1,812,27,1765.13,21,1453.41
1,813,27,1765.13,21,1453.41
1,814,27,1765.13,21,1453.41
1,815,27,1765.13,21,1453.41
1,816,27,1765.13,21,1453.41
1,817,27,1765.13,21,1453.41
1,818,27,1765.13,21,1453.41
1,819,27,1765.13,21,1453.41
1,820,27,1765.13,21,1453.41
1,821,27,1765.13,21,1453.41
1,822,27,1765.13,21,1453.41
1,823,27,1765.13,21,1432.69
1,824,27,1765.13,21,1432.69
1,825,27,1765.13,21,1432.69
1,826,27,1765.13,21,1432.69
1,827,27,1765.13,21,1432.69
1,828,27,1765.13,21,1432.69
1,829,27,1765.13,21,1432.69
1,830,27,1765.13,21,1432.69
1,831,27,1765.13,21,1432.69
1,832,27,1765.13,21,1432.69
1,833,27,1765.13,21,1432.69
1,834,27,1765.13,21,1432.69
1,835,27,1765.13,20,1432.69
1,836,27,1765.13,20,1432.69
1,837,27,1765.13,20,1432.69
1,838,27,1765.13,20,1432.69
1,839,27,1765.13,20,1432.69
1,840,27,1765.13,20,1432.69
1,841,27,1765.13,20,1432.69
1,842,27,1765.13,20,1432.69
1,843,27,1765.13,20,1432.69
1,844,27,1765.13,20,1432.69
1,845,27,1765.13,20,1432.69
1,846,27,1765.13,20,1432.69
1,847,27,1765.13,20,1432.69
1,848,27,1765.13,20,1432.69
1,849,27,1765.13,20,1432.69
1,850,27,1765.13,20,1432.69
1,851,27,1765.13,20,1432.69
1,852,27,1765.13,20,1432.69
1,853,27,1765.13,20,1432.69
1,854,27,1765.13,20,1432.69
1,855,27,1765.13,19,1432.69
1,856,27,1765.13,19,1432.69
1,857,27,1765.13,19,1432.69
1,858,27,1765.13,19,1432.69
1,859,27,1765.13,19,1432.69
1,860,27,1765.13,19,1432.69
1,861,27,1765.13,19,1432.69
1,862,27,1765.13,19,1430.37
1,863,27,1765.13,19,1430.37
1,864,27,1765.13,19,1430.37
1,865,27,1765.13,19,1430.37
1,866,27,1765.13,19,1430.37
1,867,27,1765.13,19,1430.37
