test, rrt iteration, number of waypoints, distance to goal
1,2001,18,1229.41
1,2002,18,1229.41
1,2003,18,1229.41
1,2004,18,1229.41
1,2005,18,1229.41
1,2006,18,1229.41
1,2007,18,1229.41
1,2008,18,1229.41
1,2009,18,1229.41
1,2010,18,1229.41
1,2011,18,1229.41
1,2012,18,1229.41
1,2013,18,1229.41
1,2014,18,1229.41
1,2015,18,1229.41
1,2016,18,1229.41
1,2017,18,1229.41
1,2018,18,1229.41
1,2019,18,1229.41
1,2020,18,1229.41
1,2021,18,1229.41
1,2022,18,1229.41
1,2023,18,1229.41
1,2024,18,1229.41
1,2025,18,1229.41
1,2026,18,1229.41
1,2027,18,1229.41
1,2028,18,1229.41
1,2029,18,1229.41
1,2030,18,1229.41
1,2031,18,1229.41
1,2032,18,1229.41
1,2033,18,1229.41
1,2034,18,1229.41
1,2035,18,1229.41
1,2036,18,1229.41
1,2037,18,1229.41
1,2038,18,1229.41
1,2039,18,1229.41
1,2040,18,1229.41
1,2041,18,1229.41
1,2042,18,1229.41
1,2043,18,1229.41
1,2044,18,1229.41
1,2045,18,1229.41
1,2046,18,1229.41
1,2047,18,1229.41
1,2048,18,1229.41
1,2049,18,1229.41
1,2050,18,1229.41
1,2051,18,1229.41
1,2052,18,1229.41
1,2053,18,1229.41
1,2054,18,1229.41
1,2055,18,1229.41
1,2056,18,1229.41
1,2057,18,1229.41
1,2058,18,1229.41
1,2059,18,1229.41
1,2060,18,1229.41
1,2061,18,1229.41
1,2062,18,1229.41
1,2063,18,1229.41
1,2064,18,1229.41
1,2065,18,1229.41
1,2066,18,1229.41
1,2067,18,1229.41
1,2068,18,1229.41
1,2069,18,1229.41
1,2070,18,1229.41
1,2071,18,1229.41
1,2072,18,1229.41
1,2073,18,1229.41
1,2074,18,1229.41
1,2075,18,1229.41
1,2076,18,1229.41
1,2077,18,1229.41
1,2078,18,1229.41
1,2079,18,1229.41
1,2080,18,1229.41
1,2081,18,1229.41
1,2082,18,1229.41
1,2083,18,1229.41
1,2084,18,1229.41
1,2085,18,1229.41
1,2086,18,1229.41
1,2087,18,1229.41
1,2088,18,1229.41
1,2089,18,1229.41
1,2090,18,1229.41
1,2091,18,1229.41
1,2092,18,1229.41
1,2093,18,1229.41
1,2094,18,1229.41
1,2095,18,1229.41
1,2096,18,1229.41
1,2097,18,1229.41
1,2098,18,1229.41
1,2099,18,1229.41
1,2100,18,1229.41
1,2101,18,1229.41
1,2102,18,1229.41
1,2103,18,1229.41
1,2104,18,1229.41
1,2105,18,1229.41
1,2106,18,1229.41
1,2107,18,1229.41
1,2108,18,1229.41
1,2109,18,1229.41
1,2110,18,1229.41
1,2111,18,1229.41
1,2112,18,1229.41
1,2113,18,1229.41
1,2114,18,1229.41
1,2115,18,1229.41
1,2116,18,1229.41
1,2117,18,1229.41
1,2118,18,1229.41
1,2119,18,1229.41
1,2120,18,1229.41
1,2121,18,1229.41
1,2122,18,1229.41
1,2123,18,1229.41
1,2124,18,1229.41
1,2125,18,1229.41
1,2126,18,1229.41
1,2127,18,1229.41
1,2128,18,1229.41
1,2129,18,1229.41
1,2130,18,1229.41
1,2131,18,1229.41
1,2132,18,1229.41
1,2133,18,1229.41
1,2134,18,1229.41
1,2135,18,1229.41
1,2136,18,1229.41
1,2137,18,1229.41
1,2138,18,1229.41
1,2139,18,1229.41
1,2140,18,1229.41
1,2141,18,1229.41
1,2142,18,1229.41
1,2143,18,1229.41
1,2144,18,1229.41
1,2145,18,1229.41
1,2146,18,1229.41
1,2147,18,1229.41
1,2148,18,1229.41
1,2149,18,1229.41
1,2150,18,1229.41
1,2151,18,1229.41
1,2152,18,1229.41
1,2153,18,1229.41
1,2154,18,1229.41
1,2155,18,1229.41
1,2156,18,1229.41
1,2157,18,1229.41
1,2158,18,1229.41
1,2159,18,1229.41
1,2160,18,1229.41
1,2161,18,1229.41
1,2162,18,1229.41
1,2163,18,1229.41
1,2164,18,1229.41
1,2165,18,1229.41
1,2166,18,1229.41
1,2167,18,1229.41
1,2168,18,1229.41
1,2169,18,1229.41
1,2170,18,1229.41
1,2171,18,1229.41
1,2172,18,1229.41
1,2173,18,1229.41
1,2174,18,1229.41
1,2175,18,1229.41
1,2176,18,1229.41
1,2177,18,1229.41
1,2178,18,1229.41
1,2179,18,1229.41
1,2180,18,1229.41
1,2181,18,1229.41
1,2182,18,1229.41
1,2183,18,1229.41
1,2184,18,1229.41
1,2185,18,1229.41
1,2186,18,1229.41
1,2187,18,1229.41
1,2188,18,1229.41
