test, rrt iteration, number of waypoints, distance to goal,
1,812,28,333.869,638.870517363572
1,813,28,333.869,638.870517363572
1,814,28,333.869,638.870517363572
1,815,28,333.869,638.870517363572
1,816,28,333.869,638.870517363572
1,817,29,333.869,638.870517363572
1,818,26,333.869,638.870517363572
1,819,26,333.869,638.870517363572
1,820,25,333.869,638.870517363572
1,821,25,333.869,638.870517363572
1,822,25,333.869,638.870517363572
1,823,25,333.869,638.870517363572
1,824,25,333.869,638.870517363572
1,825,25,333.869,638.870517363572
1,826,25,333.869,638.870517363572
1,827,25,333.869,638.870517363572
1,828,25,333.869,638.870517363572
1,829,25,330.623,632.659177888023
1,830,25,330.623,632.659177888023
1,831,25,330.623,632.659177888023
1,832,25,330.623,632.659177888023
1,833,25,330.623,632.659177888023
1,834,25,330.623,632.659177888023
1,835,25,330.623,632.659177888023
1,836,25,330.623,632.659177888023
1,837,25,330.623,632.659177888023
1,838,25,330.623,632.659177888023
1,839,25,330.623,632.659177888023
1,840,25,330.623,632.659177888023
1,841,25,330.623,632.659177888023
1,842,25,329.844,631.168532955351
1,843,25,329.844,631.168532955351
1,844,25,329.844,631.168532955351
1,845,25,329.844,631.168532955351
1,846,25,329.844,631.168532955351
1,847,25,329.844,631.168532955351
1,848,25,329.844,631.168532955351
1,849,25,329.844,631.168532955351
1,850,25,329.844,631.168532955351
1,851,25,304.384,582.449893692417
1,852,25,304.384,582.449893692417
1,853,25,304.384,582.449893692417
1,854,25,304.384,582.449893692417
1,855,25,304.384,582.449893692417
1,856,25,304.384,582.449893692417
1,857,25,304.384,582.449893692417
1,858,25,304.384,582.449893692417
1,859,25,304.384,582.449893692417
1,860,25,304.384,582.449893692417
1,861,25,304.384,582.449893692417
1,862,25,304.384,582.449893692417
1,863,25,304.384,582.449893692417
1,864,25,304.384,582.449893692417
1,865,25,304.384,582.449893692417
1,866,25,304.384,582.449893692417
1,867,25,304.384,582.449893692417
1,868,25,304.384,582.449893692417
1,869,25,304.384,582.449893692417
1,870,25,304.384,582.449893692417
1,871,25,304.384,582.449893692417
1,872,25,304.384,582.449893692417
1,873,25,304.384,582.449893692417
1,874,25,304.384,582.449893692417
1,875,25,304.384,582.449893692417
1,876,25,304.384,582.449893692417
1,877,25,304.384,582.449893692417
1,878,25,304.384,582.449893692417
1,879,25,304.384,582.449893692417
1,880,25,304.384,582.449893692417
1,881,25,304.384,582.449893692417
1,882,25,304.384,582.449893692417
1,883,25,304.384,582.449893692417
1,884,25,304.384,582.449893692417
1,885,25,304.384,582.449893692417
1,886,25,304.384,582.449893692417
1,887,25,304.384,582.449893692417
1,888,25,304.384,582.449893692417
1,889,25,304.384,582.449893692417
1,890,25,304.384,582.449893692417
1,891,25,304.384,582.449893692417
1,892,25,304.384,582.449893692417
1,893,25,304.384,582.449893692417
1,894,25,304.384,582.449893692417
1,895,25,304.384,582.449893692417
1,896,25,304.384,582.449893692417
1,897,25,304.384,582.449893692417
1,898,25,304.384,582.449893692417
1,899,25,304.384,582.449893692417
1,900,25,304.384,582.449893692417
1,901,25,304.384,582.449893692417
1,902,25,304.384,582.449893692417
1,903,25,304.384,582.449893692417
1,904,25,304.189,582.076754075124
1,905,25,304.189,582.076754075124
1,906,26,304.189,582.076754075124
1,907,26,304.189,582.076754075124
1,908,26,304.189,582.076754075124
1,909,26,304.189,582.076754075124
1,910,26,304.189,582.076754075124
1,911,26,304.189,582.076754075124
1,912,26,304.189,582.076754075124
1,913,26,304.189,582.076754075124
1,914,26,304.189,582.076754075124
1,915,26,304.189,582.076754075124
1,916,26,304.189,582.076754075124
1,917,26,301.59,577.103472714387
1,918,26,301.59,577.103472714387
1,919,26,301.59,577.103472714387
1,920,25,301.59,577.103472714387
1,921,26,301.59,577.103472714387
1,922,26,301.59,577.103472714387
1,923,26,301.59,577.103472714387
1,924,26,301.59,577.103472714387
1,925,26,301.59,577.103472714387
1,926,26,301.59,577.103472714387
1,927,26,301.59,577.103472714387
1,928,26,301.59,577.103472714387
1,929,26,301.59,577.103472714387
1,930,26,301.59,577.103472714387
1,931,26,301.59,577.103472714387
1,932,26,301.59,577.103472714387
1,933,26,301.59,577.103472714387
1,934,26,301.59,577.103472714387
1,935,26,301.59,577.103472714387
1,936,26,301.59,577.103472714387
1,937,26,301.59,577.103472714387
1,938,26,301.59,577.103472714387
1,939,26,301.59,577.103472714387
1,940,26,301.59,577.103472714387
1,941,26,301.59,577.103472714387
1,942,26,301.59,577.103472714387
1,943,26,301.59,577.103472714387
1,944,26,301.59,577.103472714387
1,945,26,301.59,577.103472714387
1,946,26,301.59,577.103472714387
1,947,26,301.59,577.103472714387
1,948,26,301.59,577.103472714387
1,949,26,301.59,577.103472714387
1,950,26,301.59,577.103472714387
1,951,26,301.59,577.103472714387
1,952,26,301.59,577.103472714387
1,953,26,301.59,577.103472714387
1,954,26,301.59,577.103472714387
1,955,26,301.59,577.103472714387
1,956,26,301.59,577.103472714387
1,957,26,301.59,577.103472714387
1,958,26,301.59,577.103472714387
1,959,26,301.59,577.103472714387
1,960,26,301.155,576.271084337349
1,961,26,301.155,576.271084337349
1,962,26,301.155,576.271084337349
1,963,26,301.155,576.271084337349
1,964,26,301.155,576.271084337349
1,965,26,300.629,575.264564138909
1,966,27,300.044,574.14514528703
1,967,27,300.044,574.14514528703
1,968,27,300.044,574.14514528703
1,969,27,300.044,574.14514528703
1,970,27,300.044,574.14514528703
1,971,27,300.044,574.14514528703
1,972,27,300.044,574.14514528703
1,973,27,300.044,574.14514528703
1,974,27,300.044,574.14514528703
1,975,27,300.044,574.14514528703
1,976,27,300.044,574.14514528703
1,977,27,300.044,574.14514528703
1,978,27,300.044,574.14514528703
1,979,27,300.044,574.14514528703
1,980,27,300.044,574.14514528703
1,981,27,300.044,574.14514528703
1,982,27,300.044,574.14514528703
1,983,27,300.044,574.14514528703
1,984,27,300.044,574.14514528703
1,985,27,300.044,574.14514528703
1,986,26,299.543,573.186463501063
1,987,26,299.543,573.186463501063
1,988,26,299.543,573.186463501063
1,989,26,299.543,573.186463501063
1,990,26,299.543,573.186463501063
1,991,26,299.543,573.186463501063
1,992,26,299.543,573.186463501063
1,993,26,299.543,573.186463501063
1,994,26,299.543,573.186463501063
1,995,26,299.543,573.186463501063
1,996,26,299.543,573.186463501063
1,997,26,299.543,573.186463501063
1,998,27,299.543,573.186463501063
1,999,27,299.543,573.186463501063
1,1000,27,299.543,573.186463501063
1,1001,27,299.543,573.186463501063
1,1002,27,299.543,573.186463501063
1,1003,27,299.543,573.186463501063
1,1004,27,299.543,573.186463501063
1,1005,27,299.543,573.186463501063
1,1006,27,299.543,573.186463501063
1,1007,27,299.543,573.186463501063
1,1008,27,299.543,573.186463501063
1,1009,27,299.543,573.186463501063
1,1010,27,299.543,573.186463501063
1,1011,27,299.543,573.186463501063
1,1012,27,299.543,573.186463501063
1,1013,27,299.543,573.186463501063
1,1014,27,299.543,573.186463501063
1,1015,27,299.543,573.186463501063
1,1016,27,299.543,573.186463501063
1,1017,27,299.543,573.186463501063
1,1018,27,299.543,573.186463501063
1,1019,27,299.543,573.186463501063
1,1020,27,299.543,573.186463501063
1,1021,27,299.543,573.186463501063
1,1022,27,299.543,573.186463501063
1,1023,27,299.543,573.186463501063
1,1024,27,299.543,573.186463501063
1,1025,27,299.543,573.186463501063
1,1026,27,299.543,573.186463501063
1,1027,26,299.543,573.186463501063
1,1028,26,299.543,573.186463501063
1,1029,26,299.543,573.186463501063
1,1030,26,299.543,573.186463501063
1,1031,25,299.543,573.186463501063
1,1032,25,296.757,567.855350815025
1,1033,25,296.757,567.855350815025
1,1034,25,296.141,566.67661233168
1,1035,25,296.141,566.67661233168
1,1036,25,296.141,566.67661233168
1,1037,25,296.141,566.67661233168
1,1038,25,296.141,566.67661233168
1,1039,25,296.141,566.67661233168
1,1040,25,296.141,566.67661233168
1,1041,25,296.141,566.67661233168
1,1042,25,296.141,566.67661233168
1,1043,25,296.141,566.67661233168
1,1044,25,296.141,566.67661233168
1,1045,25,296.141,566.67661233168
1,1046,25,296.141,566.67661233168
1,1047,25,296.141,566.67661233168
1,1048,26,296.141,566.67661233168
1,1049,26,296.141,566.67661233168
1,1050,26,296.141,566.67661233168
1,1051,26,296.141,566.67661233168
1,1052,26,296.141,566.67661233168
1,1053,26,296.141,566.67661233168
1,1054,26,296.141,566.67661233168
1,1055,26,296.141,566.67661233168
1,1056,26,296.141,566.67661233168
1,1057,26,296.141,566.67661233168
1,1058,26,296.141,566.67661233168
1,1059,26,296.141,566.67661233168
1,1060,26,294.651,563.825442948264
1,1061,26,294.651,563.825442948264
1,1062,26,294.651,563.825442948264
1,1063,26,294.651,563.825442948264
1,1064,26,294.651,563.825442948264
1,1065,26,294.651,563.825442948264
1,1066,26,294.651,563.825442948264
1,1067,27,294.651,563.825442948264
1,1068,27,294.651,563.825442948264
1,1069,27,294.651,563.825442948264
1,1070,27,294.651,563.825442948264
1,1071,27,294.651,563.825442948264
1,1072,27,294.651,563.825442948264
1,1073,27,294.651,563.825442948264
1,1074,27,294.651,563.825442948264
1,1075,27,294.651,563.825442948264
1,1076,27,294.651,563.825442948264
1,1077,27,294.651,563.825442948264
1,1078,27,294.651,563.825442948264
1,1079,27,294.651,563.825442948264
1,1080,27,294.651,563.825442948264
1,1081,27,294.651,563.825442948264
1,1082,27,294.651,563.825442948264
1,1083,27,294.651,563.825442948264
1,1084,28,289.64,554.236711552091
1,1085,28,289.64,554.236711552091
1,1086,28,289.64,554.236711552091
1,1087,28,289.64,554.236711552091
1,1088,28,289.64,554.236711552091
1,1089,28,289.64,554.236711552091
1,1090,28,289.64,554.236711552091
1,1091,28,289.64,554.236711552091
1,1092,28,289.64,554.236711552091
1,1093,28,289.64,554.236711552091
1,1094,28,289.64,554.236711552091
1,1095,28,289.64,554.236711552091
1,1096,28,289.64,554.236711552091
1,1097,28,289.64,554.236711552091
1,1098,28,289.64,554.236711552091
1,1099,28,289.64,554.236711552091
1,1100,28,289.64,554.236711552091
1,1101,28,289.64,554.236711552091
1,1102,28,289.64,554.236711552091
1,1103,28,289.64,554.236711552091
1,1104,28,289.64,554.236711552091
1,1105,28,289.64,554.236711552091
1,1106,28,289.64,554.236711552091
1,1107,28,289.64,554.236711552091
1,1108,28,289.64,554.236711552091
1,1109,28,289.64,554.236711552091
1,1110,28,289.64,554.236711552091
1,1111,28,289.64,554.236711552091
1,1112,28,289.64,554.236711552091
1,1113,28,289.64,554.236711552091
1,1114,28,289.64,554.236711552091
1,1115,28,289.64,554.236711552091
1,1116,28,289.64,554.236711552091
1,1117,28,289.64,554.236711552091
1,1118,28,289.64,554.236711552091
1,1119,28,289.64,554.236711552091
1,1120,28,289.64,554.236711552091
1,1121,28,288.255,551.586463501063
1,1122,28,288.255,551.586463501063
1,1123,28,288.255,551.586463501063
1,1124,28,288.255,551.586463501063
1,1125,28,288.255,551.586463501063
1,1126,28,288.255,551.586463501063
1,1127,28,288.255,551.586463501063
1,1128,28,288.255,551.586463501063
1,1129,28,288.255,551.586463501063
1,1130,28,288.255,551.586463501063
1,1131,28,288.255,551.586463501063
1,1132,28,288.255,551.586463501063
1,1133,28,288.255,551.586463501063
1,1134,28,288.255,551.586463501063
1,1135,28,288.255,551.586463501063
1,1136,28,288.255,551.586463501063
1,1137,28,288.255,551.586463501063
1,1138,28,288.255,551.586463501063
1,1139,28,288.255,551.586463501063
1,1140,28,288.255,551.586463501063
1,1141,28,288.255,551.586463501063
1,1142,28,288.255,551.586463501063
1,1143,28,288.255,551.586463501063
1,1144,28,288.251,551.578809355067
1,1145,28,288.251,551.578809355067
1,1146,28,288.251,551.578809355067
1,1147,28,288.251,551.578809355067
1,1148,28,288.251,551.578809355067
1,1149,28,288.251,551.578809355067
1,1150,28,288.251,551.578809355067
1,1151,28,288.251,551.578809355067
1,1152,28,288.251,551.578809355067
1,1153,27,288.251,551.578809355067
1,1154,27,288.251,551.578809355067
1,1155,27,288.251,551.578809355067
1,1156,27,288.251,551.578809355067
1,1157,27,288.251,551.578809355067
1,1158,27,288.251,551.578809355067
1,1159,27,288.251,551.578809355067
1,1160,27,288.251,551.578809355067
1,1161,27,288.251,551.578809355067
1,1162,27,288.251,551.578809355067
1,1163,27,288.251,551.578809355067
1,1164,27,288.251,551.578809355067
1,1165,27,288.251,551.578809355067
1,1166,27,288.251,551.578809355067
1,1167,27,288.251,551.578809355067
1,1168,26,288.251,551.578809355067
1,1169,26,288.251,551.578809355067
1,1170,26,288.251,551.578809355067
1,1171,26,288.251,551.578809355067
1,1172,26,288.251,551.578809355067
1,1173,27,288.251,551.578809355067
1,1174,27,288.251,551.578809355067
1,1175,27,288.251,551.578809355067
1,1176,27,288.251,551.578809355067
1,1177,27,288.251,551.578809355067
1,1178,27,288.238,551.553933380581
1,1179,27,288.238,551.553933380581
1,1180,27,288.238,551.553933380581
1,1181,27,288.238,551.553933380581
1,1182,27,288.238,551.553933380581
1,1183,27,288.238,551.553933380581
1,1184,27,288.238,551.553933380581
1,1185,27,288.238,551.553933380581
1,1186,27,288.238,551.553933380581
1,1187,27,288.238,551.553933380581
1,1188,27,288.238,551.553933380581
1,1189,27,288.238,551.553933380581
1,1190,27,288.238,551.553933380581
1,1191,27,288.238,551.553933380581
1,1192,27,288.238,551.553933380581
1,1193,27,288.238,551.553933380581
1,1194,27,288.238,551.553933380581
1,1195,27,288.238,551.553933380581
1,1196,27,288.238,551.553933380581
1,1197,27,288.238,551.553933380581
1,1198,27,288.238,551.553933380581
1,1199,27,288.238,551.553933380581
1,1200,27,288.238,551.553933380581
1,1201,27,286.856,548.90942593905
1,1202,27,286.856,548.90942593905
1,1203,27,286.856,548.90942593905
1,1204,27,286.856,548.90942593905
1,1205,27,286.856,548.90942593905
1,1206,27,286.856,548.90942593905
1,1207,27,286.856,548.90942593905
1,1208,27,286.856,548.90942593905
1,1209,27,286.856,548.90942593905
1,1210,27,286.856,548.90942593905
1,1211,27,286.856,548.90942593905
1,1212,27,286.856,548.90942593905
1,1213,27,286.856,548.90942593905
1,1214,27,286.856,548.90942593905
1,1215,27,286.856,548.90942593905
1,1216,27,286.856,548.90942593905
1,1217,27,286.856,548.90942593905
1,1218,27,286.856,548.90942593905
1,1219,27,286.856,548.90942593905
1,1220,27,286.856,548.90942593905
1,1221,27,286.856,548.90942593905
1,1222,27,286.856,548.90942593905
1,1223,27,286.856,548.90942593905
1,1224,27,286.856,548.90942593905
1,1225,27,286.856,548.90942593905
1,1226,27,286.856,548.90942593905
1,1227,27,286.856,548.90942593905
1,1228,27,286.856,548.90942593905
1,1229,27,286.856,548.90942593905
1,1230,27,286.856,548.90942593905
1,1231,27,286.856,548.90942593905
1,1232,27,286.856,548.90942593905
1,1233,27,286.856,548.90942593905
1,1234,27,286.856,548.90942593905
1,1235,27,286.856,548.90942593905
1,1236,27,286.856,548.90942593905
1,1237,27,286.856,548.90942593905
1,1238,27,286.856,548.90942593905
1,1239,27,286.856,548.90942593905
1,1240,27,286.856,548.90942593905
1,1241,27,286.856,548.90942593905
1,1242,27,286.856,548.90942593905
1,1243,27,286.856,548.90942593905
1,1244,27,286.856,548.90942593905
1,1245,27,286.856,548.90942593905
1,1246,27,286.856,548.90942593905
1,1247,27,286.856,548.90942593905
1,1248,27,286.856,548.90942593905
1,1249,27,286.856,548.90942593905
1,1250,27,286.856,548.90942593905
1,1251,27,286.856,548.90942593905
1,1252,27,286.856,548.90942593905
1,1253,27,286.856,548.90942593905
1,1254,27,286.856,548.90942593905
1,1255,27,286.856,548.90942593905
1,1256,27,286.856,548.90942593905
1,1257,27,286.856,548.90942593905
1,1258,27,286.856,548.90942593905
1,1259,27,286.856,548.90942593905
1,1260,27,286.856,548.90942593905
1,1261,27,286.856,548.90942593905
1,1262,27,286.856,548.90942593905
1,1263,27,286.856,548.90942593905
1,1264,27,286.856,548.90942593905
1,1265,27,286.856,548.90942593905
1,1266,27,286.856,548.90942593905
1,1267,27,286.856,548.90942593905
1,1268,27,286.856,548.90942593905
1,1269,27,286.856,548.90942593905
1,1270,27,286.856,548.90942593905
1,1271,27,286.856,548.90942593905
1,1272,27,286.856,548.90942593905
1,1273,27,286.856,548.90942593905
1,1274,27,286.856,548.90942593905
1,1275,27,286.856,548.90942593905
1,1276,26,286.856,548.90942593905
1,1277,26,286.856,548.90942593905
1,1278,26,286.626,548.469312544295
1,1279,26,286.626,548.469312544295
1,1280,26,286.626,548.469312544295
1,1281,26,286.626,548.469312544295
1,1282,26,286.626,548.469312544295
1,1283,26,286.626,548.469312544295
1,1284,26,286.626,548.469312544295
1,1285,26,286.626,548.469312544295
1,1286,26,286.626,548.469312544295
1,1287,26,286.626,548.469312544295
1,1288,26,286.626,548.469312544295
1,1289,26,286.626,548.469312544295
1,1290,26,286.626,548.469312544295
1,1291,26,286.626,548.469312544295
1,1292,26,286.626,548.469312544295
1,1293,26,286.626,548.469312544295
1,1294,26,286.626,548.469312544295
1,1295,26,286.626,548.469312544295
1,1296,26,286.626,548.469312544295
1,1297,26,286.626,548.469312544295
1,1298,26,286.626,548.469312544295
1,1299,26,286.626,548.469312544295
1,1300,26,286.538,548.300921332389
1,1301,26,286.538,548.300921332389
1,1302,26,286.538,548.300921332389
1,1303,26,286.538,548.300921332389
1,1304,26,286.538,548.300921332389
1,1305,26,286.538,548.300921332389
1,1306,26,286.538,548.300921332389
1,1307,26,286.538,548.300921332389
1,1308,26,286.538,548.300921332389
1,1309,26,286.538,548.300921332389
1,1310,26,286.538,548.300921332389
1,1311,26,286.538,548.300921332389
1,1312,26,286.538,548.300921332389
1,1313,26,286.538,548.300921332389
1,1314,26,286.538,548.300921332389
1,1315,26,286.538,548.300921332389
1,1316,26,286.538,548.300921332389
1,1317,26,286.538,548.300921332389
1,1318,26,286.538,548.300921332389
1,1319,26,286.538,548.300921332389
1,1320,26,286.538,548.300921332389
1,1321,26,286.538,548.300921332389
1,1322,26,286.538,548.300921332389
1,1323,26,286.538,548.300921332389
1,1324,26,286.538,548.300921332389
1,1325,26,286.538,548.300921332389
1,1326,26,286.538,548.300921332389
1,1327,26,286.538,548.300921332389
1,1328,26,286.538,548.300921332389
1,1329,26,286.538,548.300921332389
1,1330,26,286.538,548.300921332389
1,1331,26,286.538,548.300921332389
1,1332,26,286.538,548.300921332389
1,1333,26,286.538,548.300921332389
1,1334,26,286.538,548.300921332389
1,1335,26,286.538,548.300921332389
1,1336,26,286.538,548.300921332389
1,1337,26,286.538,548.300921332389
1,1338,26,286.321,547.885683912119
1,1339,26,286.321,547.885683912119
1,1340,26,286.321,547.885683912119
1,1341,26,286.321,547.885683912119
1,1342,26,286.321,547.885683912119
1,1343,26,286.321,547.885683912119
1,1344,26,286.321,547.885683912119
1,1345,26,286.321,547.885683912119
1,1346,26,286.321,547.885683912119
1,1347,26,286.321,547.885683912119
1,1348,26,286.321,547.885683912119
1,1349,26,286.321,547.885683912119
1,1350,26,286.321,547.885683912119
1,1351,26,286.321,547.885683912119
1,1352,26,286.321,547.885683912119
1,1353,26,286.321,547.885683912119
1,1354,26,286.321,547.885683912119
1,1355,26,286.321,547.885683912119
1,1356,26,286.321,547.885683912119
1,1357,26,286.321,547.885683912119
1,1358,26,286.321,547.885683912119
1,1359,26,286.321,547.885683912119
1,1360,26,286.321,547.885683912119
1,1361,26,286.321,547.885683912119
1,1362,26,286.321,547.885683912119
1,1363,26,286.321,547.885683912119
1,1364,26,286.321,547.885683912119
1,1365,26,286.321,547.885683912119
1,1366,26,286.321,547.885683912119
1,1367,26,286.321,547.885683912119
1,1368,26,286.321,547.885683912119
1,1369,26,286.321,547.885683912119
1,1370,26,286.321,547.885683912119
1,1371,26,286.321,547.885683912119
1,1372,26,286.321,547.885683912119
1,1373,26,286.321,547.885683912119
1,1374,26,286.321,547.885683912119
1,1375,26,286.321,547.885683912119
1,1376,26,286.321,547.885683912119
1,1377,26,286.321,547.885683912119
1,1378,26,286.321,547.885683912119
1,1379,26,286.321,547.885683912119
1,1380,26,286.321,547.885683912119
1,1381,26,286.321,547.885683912119
1,1382,26,286.321,547.885683912119
1,1383,26,286.321,547.885683912119
1,1384,26,286.321,547.885683912119
1,1385,26,286.321,547.885683912119
1,1386,26,286.321,547.885683912119
1,1387,26,286.321,547.885683912119
1,1388,26,286.321,547.885683912119
1,1389,26,286.321,547.885683912119
1,1390,26,286.321,547.885683912119
1,1391,26,286.321,547.885683912119
1,1392,26,286.321,547.885683912119
1,1393,26,286.321,547.885683912119
1,1394,26,286.321,547.885683912119
1,1395,26,286.321,547.885683912119
1,1396,26,286.321,547.885683912119
1,1397,26,286.321,547.885683912119
1,1398,26,286.321,547.885683912119
1,1399,26,286.321,547.885683912119
1,1400,26,286.321,547.885683912119
1,1401,26,286.321,547.885683912119
1,1402,26,286.321,547.885683912119
1,1403,26,286.321,547.885683912119
1,1404,26,286.321,547.885683912119
1,1405,26,286.321,547.885683912119
1,1406,26,286.321,547.885683912119
1,1407,26,286.321,547.885683912119
1,1408,26,286.321,547.885683912119
1,1409,26,286.321,547.885683912119
1,1410,26,286.321,547.885683912119
1,1411,26,286.321,547.885683912119
1,1412,26,286.321,547.885683912119
1,1413,26,286.321,547.885683912119
1,1414,26,286.321,547.885683912119
1,1415,26,286.321,547.885683912119
1,1416,26,286.321,547.885683912119
1,1417,26,286.321,547.885683912119
1,1418,26,286.321,547.885683912119
1,1419,26,286.321,547.885683912119
1,1420,26,286.321,547.885683912119
1,1421,26,286.321,547.885683912119
1,1422,26,286.321,547.885683912119
1,1423,26,286.321,547.885683912119
1,1424,26,286.321,547.885683912119
1,1425,26,286.321,547.885683912119
1,1426,26,286.321,547.885683912119
1,1427,26,286.321,547.885683912119
1,1428,26,286.321,547.885683912119
1,1429,26,286.321,547.885683912119
1,1430,26,286.321,547.885683912119
1,1431,26,286.321,547.885683912119
1,1432,26,286.321,547.885683912119
1,1433,26,286.321,547.885683912119
1,1434,26,286.321,547.885683912119
1,1435,26,286.321,547.885683912119
1,1436,26,286.321,547.885683912119
1,1437,26,286.321,547.885683912119
1,1438,26,286.321,547.885683912119
1,1439,26,286.321,547.885683912119
1,1440,26,285.945,547.166194188519
1,1441,26,285.945,547.166194188519
1,1442,26,285.945,547.166194188519
1,1443,26,285.945,547.166194188519
1,1444,26,285.945,547.166194188519
1,1445,26,285.945,547.166194188519
1,1446,26,285.945,547.166194188519
1,1447,26,285.945,547.166194188519
1,1448,26,285.945,547.166194188519
1,1449,26,285.945,547.166194188519
1,1450,26,285.945,547.166194188519
1,1451,26,285.945,547.166194188519
1,1452,26,285.945,547.166194188519
1,1453,26,285.945,547.166194188519
1,1454,26,285.945,547.166194188519
1,1455,26,285.945,547.166194188519
1,1456,26,285.945,547.166194188519
1,1457,26,285.945,547.166194188519
1,1458,26,285.945,547.166194188519
1,1459,26,285.945,547.166194188519
1,1460,26,285.945,547.166194188519
1,1461,26,285.945,547.166194188519
1,1462,26,285.945,547.166194188519
1,1463,26,285.945,547.166194188519
1,1464,26,285.945,547.166194188519
1,1465,26,285.945,547.166194188519
1,1466,26,285.945,547.166194188519
1,1467,26,285.945,547.166194188519
1,1468,26,285.945,547.166194188519
1,1469,26,285.945,547.166194188519
1,1470,26,285.945,547.166194188519
1,1471,26,285.945,547.166194188519
1,1472,26,285.945,547.166194188519
1,1473,26,285.945,547.166194188519
1,1474,26,285.945,547.166194188519
1,1475,26,285.945,547.166194188519
1,1476,26,285.945,547.166194188519
1,1477,26,285.945,547.166194188519
1,1478,26,285.945,547.166194188519
1,1479,26,285.945,547.166194188519
1,1480,26,285.945,547.166194188519
1,1481,26,285.945,547.166194188519
1,1482,26,285.945,547.166194188519
1,1483,26,285.945,547.166194188519
1,1484,26,285.945,547.166194188519
1,1485,26,285.945,547.166194188519
1,1486,26,285.945,547.166194188519
1,1487,26,285.945,547.166194188519
1,1488,26,285.945,547.166194188519
1,1489,26,285.945,547.166194188519
1,1490,26,285.945,547.166194188519
1,1491,26,285.945,547.166194188519
1,1492,26,285.945,547.166194188519
1,1493,26,285.945,547.166194188519
1,1494,26,285.945,547.166194188519
1,1495,26,285.945,547.166194188519
1,1496,26,285.945,547.166194188519
1,1497,26,285.945,547.166194188519
1,1498,26,285.945,547.166194188519
1,1499,26,285.945,547.166194188519
1,1500,26,285.945,547.166194188519
1,1501,26,285.945,547.166194188519
1,1502,26,285.945,547.166194188519
1,1503,26,285.945,547.166194188519
1,1504,26,285.945,547.166194188519
1,1505,26,285.945,547.166194188519
1,1506,26,285.945,547.166194188519
1,1507,26,285.945,547.166194188519
1,1508,26,285.945,547.166194188519
1,1509,26,285.945,547.166194188519
1,1510,26,285.945,547.166194188519
1,1511,26,285.945,547.166194188519
1,1512,26,285.945,547.166194188519
1,1513,26,285.945,547.166194188519
1,1514,26,285.945,547.166194188519
1,1515,26,285.945,547.166194188519
1,1516,26,285.945,547.166194188519
1,1517,26,285.945,547.166194188519
1,1518,26,285.945,547.166194188519
1,1519,26,285.945,547.166194188519
1,1520,26,285.945,547.166194188519
1,1521,26,285.945,547.166194188519
1,1522,26,285.945,547.166194188519
1,1523,26,285.945,547.166194188519
1,1524,26,285.945,547.166194188519
1,1525,26,285.945,547.166194188519
1,1526,26,285.945,547.166194188519
1,1527,26,285.945,547.166194188519
1,1528,26,285.945,547.166194188519
1,1529,26,285.945,547.166194188519
1,1530,26,285.945,547.166194188519
